topic_words3,Isamaa,Isamaa ja Res Publica Liidu fraktsioon,difference
kaasne lisakulutusi riigieelarvele,0.0,0.0088105726872246,-inf
hooldekodus hoolduse hooldekodu,0.0,0.0,
huvihariduse huvitegevuse huviharidus,0.0,0.0,
id mobiil kaardi,0.0,0.0,
idapiiri piiririba valjaehitamine,0.0,0.0,
iive sundimus iibe,0.0,0.0,
inflatsiooni inflatsioon hinnatous,0.0,0.0,
kaitsekulud kaitsekulutused kaitsekulude,0.0,0.0,
kandidaadi kandidaati kandidaat,0.0,0.0,
erso teatri kontserdi,0.0,0.0,
eelarvele kulude riigieelarvele,0.0,0.0,
domeenide domeeni interneti,0.0,0.0,
direktiivi direktiiv ulevotmise,0.0,0.0,
danske filiaali rahapesu,0.0,0.0044052863436123,-inf
borsile ipo enefit,0.0,0.0044052863436123,-inf
arengukavad arengukavade pohialuste,0.0,0.0044052863436123,-inf
apteeke apteegid apteekide,0.0,0.0220264317180616,-inf
kala kalurid kalurite,0.0,0.0044052863436123,-inf
ulikooliga kbfi instituudi,0.0,0.0044052863436123,-inf
ammendumiseni kaheni pikendada,0.0,0.0044052863436123,-inf
joustumine joustuma joustada,0.0,0.0308370044052863,-inf
hoone rkas hoonet,0.0,0.0088105726872246,-inf
aardla pria pealtnagija,0.0,0.0,
kodakondsust kodakondsuse kodanikuks,0.0,0.0088105726872246,-inf
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
ajakirjandus ajakirjanduse ajakirjandust,0.0,0.0,
annetus erjk annetuse,0.0,0.0,
annetused annetusi annetuste,0.0,0.0,
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,
volitust kaasuses jarvik,0.0,0.0,
