topic_words3,Fraktsioonitud,Isamaa,difference
noukogudesse ariuhingute noukogudes,0.0053619302949061,0.0,100.0
ooteala piiriuletuse piiripunkti,0.0053619302949061,0.0,100.0
koolilouna koolitoidu koolitoit,0.0053619302949061,0.0,100.0
abielu kooselu samasooliste,0.0053619302949061,0.0,100.0
arengukavad arengukavade pohialuste,0.0053619302949061,0.0,100.0
hadaolukorda eriolukord eriolukorra,0.0053619302949061,0.0,100.0
inflatsiooni inflatsioon hinnatous,0.0053619302949061,0.0,100.0
kaasne lisakulutusi riigieelarvele,0.0053619302949061,0.0,100.0
kodualuse maamaksu maamaksust,0.0053619302949061,0.0,100.0
virumaale virumaa toostusalade,0.0053619302949061,0.0,100.0
skais arendused infosusteemide,0.0053619302949061,0.0,100.0
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0053619302949061,0.0,100.0
psuhhiaatri alaealine psuhhiaatrilist,0.0053619302949061,0.0,100.0
abipolitseinik abipolitseiniku abipolitseinike,0.002680965147453,0.0,100.0
energiaagentuur agentuuri agentuur,0.002680965147453,0.0,100.0
teede teehoiuks teedele,0.002680965147453,0.0,100.0
ajakirjandus ajakirjanduse ajakirjandust,0.002680965147453,0.0,100.0
ammendumiseni kaheni pikendada,0.002680965147453,0.0,100.0
borsile ipo enefit,0.002680965147453,0.0,100.0
kohtutaiturite kohtutaitur kohtutaituri,0.002680965147453,0.0,100.0
konkurss konkursi konkurssi,0.002680965147453,0.0,100.0
elatisraha elatisabi elatise,0.002680965147453,0.0,100.0
memorandumi moistmise memorandum,0.002680965147453,0.0,100.0
volitust kaasuses jarvik,0.002680965147453,0.0,100.0
piirivalve valvamise valvamine,0.002680965147453,0.0,100.0
koolituse koolitus koolitusele,0.002680965147453,0.0,100.0
kusimusena tahtsa tahtsusega,0.002680965147453,0.0,100.0
liitlaste ohutorje keskmaa,0.002680965147453,0.0,100.0
lipu laevu kaubalaeva,0.002680965147453,0.0,100.0
majandusaasta koondaruanne raamatupidamise,0.002680965147453,0.0,100.0
muraste kase kompleksi,0.002680965147453,0.0,100.0
muundatud geneetiliselt gmo,0.002680965147453,0.0,100.0
opositsiooni koalitsioonil opositsioonil,0.002680965147453,0.0,100.0
oppelaenu sugava puudega,0.002680965147453,0.0,100.0
pensioni pension sammas,0.002680965147453,0.0,100.0
pensioniiga pensioniea eluiga,0.002680965147453,0.0,100.0
veb fondi uurimiskomisjon,0.002680965147453,0.0,100.0
piima toorpiima toodangut,0.002680965147453,0.0,100.0
talupidajate kaubanduskoja kaubanduskoda,0.002680965147453,0.0,100.0
vagivalla naistevastase perevagivalla,0.002680965147453,0.0,100.0
vagivallale vihakone ohutamine,0.002680965147453,0.0,100.0
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.002680965147453,0.0,100.0
rail trassi balticu,0.002680965147453,0.0,100.0
puude raskusastme puuet,0.002680965147453,0.0,100.0
vanemahuvitist vanemahuvitise vanemahuvitis,0.002680965147453,0.0,100.0
ulikooliga kbfi instituudi,0.002680965147453,0.0,100.0
riigikontrolor karis riigikontrolori,0.002680965147453,0.0,100.0
relva relvade relvaluba,0.002680965147453,0.0,100.0
