topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Reformierakond,difference
hoiu pangad pankade,0.0,0.002375296912114,-inf
riigipalgaliste riigisektoris koondada,0.0,0.004750593824228,-inf
tootuna arvele ariuhingu,0.0,0.002375296912114,-inf
ametiuhingute tooandjate keskliit,0.0,0.004750593824228,-inf
sularaha kommertspangad pangad,0.0,0.01187648456057,-inf
slovakkia ungari portugal,0.0,0.007125890736342,-inf
valimiskomisjon proteste valimiskasti,0.0,0.002375296912114,-inf
kandidaati kandidaat valituks,0.0,0.007125890736342,-inf
talupidajate kaubanduskoja kaubanduskoda,0.0,0.002375296912114,-inf
kaitseliit kaitseliidule kaitseliidu,0.0,0.0166270783847981,-inf
eripensioni valjateenitud staazi,0.0,0.002375296912114,-inf
riigikontrolli auditi auditit,0.0,0.01187648456057,-inf
eriarstide eriarstiabi eriarsti,0.0,0.004750593824228,-inf
samba sammas sambasse,0.0,0.002375296912114,-inf
valismaale valjarande valjaranne,0.0,0.002375296912114,-inf
sigade katku katk,0.0,0.002375296912114,-inf
eelarves riigieelarves reservist,0.0,0.004750593824228,-inf
eelarvele kulude riigieelarvele,0.0,0.007125890736342,-inf
domeenide domeeni interneti,0.0,0.002375296912114,-inf
direktiivi direktiiv ulevotmise,0.0,0.002375296912114,-inf
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.002375296912114,-inf
volitust kaasuses jarvik,0.0,0.0,
