topic_words3,Eesti Vabaerakonna fraktsioon,Keskerakond,difference
kaitsekulud kaitsekulutused kaitsekulude,0.0,0.0038167938931297,-inf
ene ergma aplaus,0.0,0.0038167938931297,-inf
elektri elektrit taastuvenergia,0.0,0.0038167938931297,-inf
elatisraha elatisabi elatise,0.0,0.0038167938931297,-inf
efsf esm kreekale,0.0,0.0038167938931297,-inf
veb fondi uurimiskomisjon,0.0,0.0076335877862595,-inf
eelarvele kulude riigieelarvele,0.0,0.0038167938931297,-inf
borsile ipo enefit,0.0,0.0114503816793893,-inf
apteeke apteegid apteekide,0.0,0.0114503816793893,-inf
ammendumiseni kaheni pikendada,0.0,0.0038167938931297,-inf
alkoholi kange lahja,0.0,0.0267175572519083,-inf
hooldekodus hoolduse hooldekodu,0.0,0.0076335877862595,-inf
hoone rkas hoonet,0.0,0.0076335877862595,-inf
riigiloivude riigiloivud riigiloivu,0.0,0.0038167938931297,-inf
valismaale valjarande valjaranne,0.0,0.0038167938931297,-inf
huvihariduse huvitegevuse huviharidus,0.0,0.0038167938931297,-inf
valimisea valimisiga valimisoiguse,0.0,0.0,
