topic_words3,Eesti Keskerakonna fraktsioon,Eesti Reformierakonna fraktsioon,difference
ts parvlaeva parvlaevad,0.0032987368251669,0.0022186723464678,32.741759526222715
uhistranspordi uhistransport uhistransporti,0.0039423927910531,0.0027511537096201,30.2161439655736
fie fuusilisest isikust,0.0039423927910531,0.0027511537096201,30.2161439655736
haale valimispaeval valimiste,0.0072411296162201,0.005591054313099,22.78753993610249
oiglase virumaale ulemineku,0.0020114248933944,0.0011537096201632,42.64217252396405
kala kalurid kalurite,0.0026550808592807,0.0015974440894568,39.83444670345857
riigikontrolli auditi auditit,0.0051492477270898,0.0036386226482073,29.3368111022357
planeeringu keskkonnamoju keskkonnamojude,0.002172338884866,0.0011537096201632,46.890900485153075
korterid kortereid korterit,0.0044251347654678,0.0029286474973375,33.817891373803164
kolledz kolledzi turi,0.0010459409445651,0.0003549875754348,66.06045711477495
liiklussurmade liikluses hukkunute,0.002896451846488,0.0016861909833155,41.78425630103131
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0023332528763375,0.001242456514022,46.750027542137644
pagulasi pagulased pagulaste,0.0030573658379596,0.0017749378771742,41.94551874895209
piirivalve valvamise valvamine,0.0013677689275082,0.0005324813631522,61.06934786694753
eelarves riigieelarves reservist,0.0166545981173063,0.0134895278665246,19.0041826796936
kohanimenoukogu vonnu mulgi,0.0011263979403009,0.0002662406815761,76.36353263350448
loomi loomade loomad,0.0037010218038458,0.0020411785587504,44.84824281150212
talupidajate kaubanduskoja kaubanduskoda,0.0010459409445651,0.0001774937877174,83.03022855738747
virumaale virumaa toostusalade,0.0055515327057687,0.0034611288604898,37.65453535213298
hooldekodus hoolduse hooldekodu,0.0031378228336953,0.0015974440894568,49.09068567215606
hoone rkas hoonet,0.0049078767398825,0.0029286474973375,40.327606976380274
nord stream streami,0.0023332528763375,0.0009762158324458,58.160735925967735
hanke hankija riigihangete,0.0057929036929761,0.0035498757543485,38.72026979055897
piima toorpiima toodangut,0.0041033067825247,0.0022186723464678,45.9296498151989
tsernoboli represseeritud oigusvastaselt,0.0012873119317724,8.874689385871494e-05,93.10603035143734
utah jordaania energia,0.0024941668678091,0.0009762158324458,60.86004328558347
objekti anu raua,0.0032987368251669,0.0015086971955981,54.26439647783157
muuseum muuseumi muuseumide,0.0017700539061871,0.0004437344692935,74.93101945977708
kinnisasja maad maa,0.0077238715906348,0.0047035853745118,39.103268104367494
post posti omniva,0.0017700539061871,0.0003549875754348,79.94481556782165
pensionitous pensionitousu pension,0.0092525545096146,0.0057685481008164,37.654535352132946
pollumeestele pollumehi pollumehed,0.0066779306460696,0.003727369542066,44.183763809230314
lasteaia lasteaias lasteaiakoha,0.0082870705607852,0.004969826056088,40.02915723192408
aardla pria pealtnagija,0.0018505109019229,0.0001774937877174,90.4083900541757
otsevalimise presidenti presidendi,0.0061147316759192,0.0031948881789137,47.75096687405458
vabatahtlike komandode paasteameti,0.0066779306460696,0.0035498757543485,46.841679818315654
veb fondi uurimiskomisjon,0.0027355378550164,0.0007987220447284,70.802010900207
domeenide domeeni interneti,0.0020918818891302,0.0002662406815761,87.27267141804062
sigade katku katk,0.002172338884866,0.0001774937877174,91.82936930540887
missiooni missioonile missioon,0.0102180384584439,0.0059460418885339,41.80838217906434
kohtla jarve johvi,0.006195188671655,0.0027511537096201,55.59209161445684
energiaagentuur agentuuri agentuur,0.002896451846488,0.0005324813631522,81.61608093716998
estonian air airi,0.0045860487569394,0.0013312034078807,70.97275937447495
lapsetoetust lapsetoetus lapsetoetuse,0.0111030654115375,0.0056798012069577,48.844746955596044
hambaravi hammaste hambad,0.0044251347654678,0.0007099751508697,83.95585245425524
matusetoetust matusetoetus matusetoetuse,0.0046665057526751,0.0008874689385871,80.98215269362191
maavalitsuste maavalitsused maakonna,0.0073215866119559,0.0025736599219027,64.84833058315527
pensioniiga pensioniea eluiga,0.0082870705607852,0.003106141285055,62.51822326995254
vaesuses suhtelises vaesuse,0.0073215866119559,0.0021299254526091,70.90896324123239
teede teehoiuks teedele,0.0115053503902164,0.0048810791622293,57.575571393462845
omandireformi tagastatud omandireform,0.0071606726204843,0.0016861909833155,76.45205872850731
vallaga vald sauga,0.0100571244669724,0.0034611288604898,65.58530351437781
kodualuse maamaksu maamaksust,0.0115053503902164,0.0042598509052183,62.97504412520393
valismaale valjarande valjaranne,0.0086088985437283,0.0021299254526091,75.25902481263668
palgatousu opetajate palgatous,0.013114490304932,0.004348597799077,66.84127481918522
koolilouna koolitoidu koolitoit,0.0101375814627081,0.0019524316648917,80.74065621988957
kaibemaksu kaibemaks kaibemaksumaara,0.0144822592324402,0.004348597799077,69.9729321973732
tulubaasi omavalitsustele omavalitsuste,0.0150454582025907,0.004348597799077,71.0969400830331
tootuid tootute tootu,0.0192292219808512,0.0059460418885339,69.0780942959883
tulubaasi tasandusfondi tulumaksuosa,0.0157695711642127,0.002484913028044,84.24235508900054
eriarstide eriarstiabi eriarsti,0.0226084158017539,0.0069222577209797,69.3819426284495
kontrollin haaled kandidaadi,0.0001609139914715,0.0,100.0
koondaruande majandusaasta koondaruanne,8.045699573577922e-05,0.0,100.0
