topic_words3,Eesti Reformierakonna fraktsioon,Isamaa fraktsioon,difference
energiaagentuur agentuuri agentuur,0.0005324813631522,0.0002251238180999,57.72174696083165
oiglase virumaale ulemineku,0.0011537096201632,0.0006753714542998,41.46088040730179
relva relvade relvaluba,0.0028399006034788,0.0020261143628995,28.655447996399403
reklaami reklaam alkoholireklaam,0.0028399006034788,0.0020261143628995,28.655447996399403
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0033723819666311,0.0024763619990995,26.56934998459545
valimiskomisjon proteste valimiskasti,0.0008874689385871,0.0004502476361999,49.266096352992435
laari laar kandidatuuri,0.0017749378771742,0.0011256190904997,36.58262044124337
slovakkia ungari portugal,0.0057685481008164,0.004502476361999,21.94784054306867
erso teatri kontserdi,0.000621228257011,0.0002251238180999,63.7614973950044
kodakondsust kodakondsuse kodanikuks,0.0101171458998935,0.0083295812696983,17.668665134245195
suuria euroopasse turgis,0.0009762158324458,0.0004502476361999,53.878269411810834
kusimusena tahtsa tahtsusega,0.0027511537096201,0.0018009905447996,34.536898519992384
magustatud suhkrut joogi,0.002484913028044,0.0015758667266996,36.58262044124562
riigikontrolor karis riigikontrolori,0.0013312034078807,0.0006753714542998,49.266096352998105
estonian air airi,0.0013312034078807,0.0006753714542998,49.266096352998105
piima toorpiima toodangut,0.0022186723464678,0.0013507429085997,39.11931562359229
korteriuhistu korteriomanike korteriuhistute,0.0022186723464678,0.0013507429085997,39.11931562359229
louis freeh kremli,0.0022186723464678,0.0013507429085997,39.11931562359229
majandusaasta koondaruanne raamatupidamise,0.0041711040113596,0.0029266096352994,29.836090700949665
apteeke apteegid apteekide,0.0083422080227192,0.0065285907248986,21.740255012598436
jahimehed jahimeeste jahti,0.003106141285055,0.0020261143628995,34.77069531099505
rongi rongide rongid,0.0007099751508697,0.0002251238180999,68.2913102206282
teatri teater rahvusooper,0.0007099751508697,0.0002251238180999,68.2913102206282
liiklussurmade liikluses hukkunute,0.0016861909833155,0.0009004952723998,46.595890897887095
kandideerima ametikohale kandidaatide,0.0010649627263045,0.0004502476361999,57.72174696082624
katteallikas katteallikaid katteallikat,0.0058572949946751,0.0042773525438991,26.973926568703376
