topic_words3,Eesti Reformierakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,difference
tulubaasi tasandusfondi tulumaksuosa,0.002484913028044,0.0010178117048346,59.04034896401301
pensioniiga pensioniea eluiga,0.003106141285055,0.0013994910941475,54.94438386041672
soita jalakaija konniteel,0.0084309549165779,0.005470737913486,35.111289674568
pensionitous pensionitousu pension,0.0057685481008164,0.0033078880407124,42.656488549618786
efsf esm kreekale,0.0112708555200567,0.0076335877862595,32.27144316884033
pohiseadusega riigikohus oiguskantsler,0.0125133120340788,0.0086513994910941,30.862433003086252
abipolitseinik abipolitseiniku abipolitseinike,0.0019524316648917,0.0005089058524173,73.93476752255354
pensionifondide pensionifondid fondid,0.0060347887823926,0.0033078880407124,45.18634934890084
teenuseid teenused teenust,0.0020411785587504,0.0005089058524173,75.06803849983366
tapsustatakse ajakohastatakse nouete,0.0038161164359247,0.0016539440203562,56.65897390378171
volakirjade keskpank volakirju,0.004969826056088,0.0024173027989821,51.36041439476695
maantee neljarealiseks ppp,0.0044373446929357,0.0020356234096692,54.125190839694426
kusimusena tahtsa tahtsusega,0.0027511537096201,0.0008905852417302,67.62866289091572
korterelamute kortermajade kredexi,0.0035498757543485,0.0013994910941475,60.576335877863826
aasia aasias saatkonna,0.0057685481008164,0.0029262086513994,49.27304756312484
kohtutaiturite kohtutaitur kohtutaituri,0.002484913028044,0.0006361323155216,74.40021810250914
valispoliitika valispoliitikas diplomaatia,0.0047923322683706,0.0021628498727735,54.8685326547929
jahimehed jahimeeste jahti,0.003106141285055,0.0010178117048346,67.23227917121041
kasvavad tuleval kasv,0.0029286474973375,0.0008905852417302,69.59056210964785
riigiabi komisjonilt loa,0.0035498757543485,0.0012722646310432,64.16030534351206
teadus teaduse arendustegevuse,0.0085197018104366,0.0048346055979643,43.253816793893805
skais arendused infosusteemide,0.0021299254526091,0.0002544529262086,88.0534351145059
kandidaadi kandidaati kandidaat,0.0038161164359247,0.0013994910941475,63.326824072432075
magustatud suhkrut joogi,0.002484913028044,0.0001272264631043,94.88004362050263
jalitustegevuse jalitustoimingu sideandmete,0.0032836350727724,0.0010178117048346,69.00350732411769
korteriuhistu korteriomanike korteriuhistute,0.0022186723464678,0.0002544529262086,88.53129770992561
kohtunike kohtususteem kohtuniku,0.0112708555200567,0.0067430025445292,40.17310813247584
sularaha kommertspangad pangad,0.002484913028044,0.0003816793893129,84.6401308615079
jaatmeid liigiti prugi,0.0042598509052183,0.0015267175572519,64.16030534351151
ootuse oigusparase oiguskindluse,0.003106141285055,0.0007633587786259,75.42420937840943
pensioni pension sammas,0.0047035853745118,0.0017811704834605,62.13164338182394
fie fuusilisest isikust,0.0027511537096201,0.0003816793893129,86.12656981039402
vaikesaarte saarte pusiasustusega,0.003727369542066,0.0010178117048346,72.69356597600868
katteallikas katteallikaid katteallikat,0.0058572949946751,0.0024173027989821,58.730048577377715
huvigruppe huvigruppide kaasatud,0.0114483493077742,0.0064885496183206,43.32327356648318
erimargistatud kutust kutuse,0.0040823571175008,0.0010178117048346,75.06803849983366
ametiuhingute tooandjate keskliit,0.0055023074192403,0.0019083969465648,65.31642452598021
borsile ipo enefit,0.0048810791622293,0.0013994910941475,71.32824427481073
treenerite spordi sport,0.0057685481008164,0.0001272264631043,97.7944803288319
joustumine joustuma joustada,0.0108271210507632,0.0053435114503816,50.64697785008197
vee monopolide veeteenuse,0.0038161164359247,0.0005089058524173,86.66429966270186
muugimaksu muugimaks paadimaksu,0.0040823571175008,0.0002544529262086,93.76700962495964
noukogudesse ariuhingute noukogudes,0.0055023074192403,0.0016539440203562,69.94090125584879
kodualuse maamaksu maamaksust,0.0042598509052183,0.0007633587786259,82.08015267175693
majandusaasta koondaruanne raamatupidamise,0.0041711040113596,0.0006361323155216,84.74906610362257
teede teehoiuks teedele,0.0048810791622293,0.0010178117048346,79.14781401804305
arengukavad arengukavade pohialuste,0.0135782747603833,0.0067430025445292,50.33976949558463
inimarengu aruanne aruandes,0.0055023074192403,0.0011450381679389,79.18985471558776
tootuid tootute tootu,0.0059460418885339,0.0013994910941475,76.46348410618802
toovoimereformi toovoimega toovoimereform,0.0064785232516861,0.0003816793893129,94.10854334413999
untso missioonide liikmesusest,0.0082534611288604,0.0021628498727735,73.79463186407305
arengufond arengufondi arengufondis,0.009939652112176,0.0029262086513994,70.5602508178851
alkoholi kange lahja,0.0253816116435924,0.0129770992366412,48.87204398654774
samba sammas sambasse,0.0104721334753283,0.0022900763358778,78.1317117350244
maksuamet tolliamet tolliameti,0.0165069222577209,0.0035623409669211,78.4191085939424
tulumaksuvaba maksususteemi tulumaksu,0.0220092296769613,0.0052162849872773,76.2995567594191
ulejaagis struktuurses struktuurse,0.0297302094426695,0.0067430025445292,77.3193574114164
kulukuse krediidi kiirlaenude,0.0027511537096201,0.0,100.0
oppelaenu sugava puudega,0.0008874689385871,0.0,100.0
valitsemisalade katteallikaks riigieelarves,0.000621228257011,0.0,100.0
haalte kandidaatidele haaletamisest,0.0002662406815761,0.0,100.0
ene ergma aplaus,0.0001774937877174,0.0,100.0
kontrollin haaled kandidaadi,0.0,0.0002544529262086,-inf
koondaruande majandusaasta koondaruanne,0.0,0.0,
