topic_words3,Eesti Keskerakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,Eesti Reformierakonna fraktsioon,Eesti Vabaerakonna fraktsioon,Eestimaa Rahvaliidu fraktsioon,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonidesse mittekuulunud Riigikogu liikmed,Isamaa fraktsioon,Isamaa ja Res Publica Liidu fraktsioon,Sotsiaaldemokraatliku Erakonna fraktsioon
idapiiri piiririba valjaehitamine,0.0012873119317724675,0.0036895674300254453,0.0010649627263045794,0.002894356005788712,0.0,0.0,0.0011753643629525152,0.002926609635299415,0.0015455950540958269,0.00026712969146520634
iive sundimus iibe,0.0039423927910531825,0.0055979643765903305,0.0029286474973375934,0.002170767004341534,0.003067484662576687,0.007772020725388601,0.0037611659614480487,0.0022512381809995496,0.002833590932509016,0.0025377320689194604
inflatsiooni inflatsioon hinnatous,0.003540107812374286,0.0059796437659033076,0.003283635072772453,0.000361794500723589,0.003067484662576687,0.0025906735751295338,0.0016455101081335214,0.004502476361999099,0.0005151983513652757,0.0032055562975824765
inimarengu aruanne aruandes,0.005068790731354091,0.0011450381679389313,0.005502307419240326,0.006150506512301013,0.018404907975460124,0.007772020725388601,0.0023507287259050304,0.002476361999099505,0.002833590932509016,0.00293842660611727
jaatmeid liigiti prugi,0.0029769088422238314,0.0015267175572519084,0.004259850905218318,0.000361794500723589,0.0,0.010362694300518135,0.005876821814762577,0.0018009905447996398,0.009015971148892323,0.002404167223186857
jahimehed jahimeeste jahti,0.0010459409445651299,0.0010178117048346056,0.003106141285055023,0.000723589001447178,0.0,0.0051813471502590676,0.004231311706629055,0.002026114362899595,0.00231839258114374,0.004407639909175905
jalitustegevuse jalitustoimingu sideandmete,0.0009654839488293508,0.0010178117048346056,0.003283635072772453,0.0,0.006134969325153374,0.0,0.0028208744710860366,0.00022512381809995497,0.004121586810922205,0.0006678242286630158
jarviku jarvik maaeluministri,0.004344677769732078,0.015139949109414758,0.012069577564785232,0.005065123010130246,0.0,0.0025906735751295338,0.005171603196991067,0.004502476361999099,0.0005151983513652757,0.007479631361025778
joustumine joustuma joustada,0.008447984552256819,0.0053435114503816794,0.010827121050763224,0.012301013024602027,0.003067484662576687,0.0,0.011283497884344146,0.011031067086897793,0.017001545595054096,0.010284493121410445
kaasne lisakulutusi riigieelarvele,0.004505591761203636,0.0035623409669211198,0.005058572949946752,0.004703328509406657,0.006134969325153374,0.0025906735751295338,0.0025858015984955335,0.002476361999099505,0.004894384337970119,0.003472685989047683
kaibemaksu kaibemaks kaibemaksumaara,0.01448225923244026,0.0031806615776081423,0.004348597799077032,0.001447178002894356,0.012269938650306749,0.012953367875647668,0.008227550540667606,0.003827104907699235,0.0038639876352395673,0.003071991451849873
kaitsekulud kaitsekulutused kaitsekulude,0.0018505109019229223,0.0022900763358778627,0.001774937877174299,0.001447178002894356,0.0,0.0025906735751295338,0.0014104372355430183,0.003827104907699235,0.001287995878413189,0.0013356484573260317
