,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
läbiarutamist,0.6406527757644653,0.0287818664652155,12,9,8.478515625,1.5838048458099365,41
kulgema,0.6405307054519653,0.0301288755749795,13,0,8.114551544189453,8.256070137023926,27
erakoole,0.6405181288719177,0.0292740784141809,17,-1,9.215904235839844,4.748044967651367,130
elatisraha,0.6404137015342712,0.0328789798356183,17,-1,9.609670639038086,3.689894199371338,207
seaduse,0.6398354172706604,0.0325835371816103,2,10,10.141263961791992,2.440932273864746,39552
tarbima,0.639478862285614,0.0313027557700296,11,0,9.761680603027344,7.306881427764893,103
muukeelseid,0.6394605040550232,0.029420673382364,17,14,9.14802074432373,5.08115291595459,35
jäämurdmise,0.6394063234329224,0.0317821389740046,12,-1,9.950791358947754,3.698432683944702,20
hävitama,0.639373779296875,0.0319537195903294,13,0,9.66435432434082,7.342769145965576,34
lasteaia-,0.6388921737670898,0.0300099644614475,17,12,9.361963272094727,4.074703216552734,64
omavalitsuselt,0.6388776302337646,0.0306456798707424,17,15,9.162353515625,3.4170005321502686,101
lähtetoetuse,0.6387980580329895,0.0312515895026377,17,-1,9.625701904296875,3.723627805709839,82
välistama,0.6383192539215088,0.0322221093055828,10,0,9.033856391906738,8.349891662597656,63
rõhutamist,0.637755811214447,0.0301173184524331,12,9,8.492607116699219,1.557373046875,24
vajav,0.6376218795776367,0.0308174144247606,17,-1,9.566816329956055,4.103227138519287,66
laheneb,0.6373235583305359,0.0308072391725653,1,8,7.859986305236816,5.947330951690674,122
digiretsepti,0.6372812986373901,0.0307248534226082,17,-1,9.971735000610352,3.4532086849212646,63
madalamal,0.6367752552032471,0.0318544232413765,12,3,7.577494144439697,3.5239479541778564,82
töötati,0.6367485523223877,0.0316029525217629,1,8,8.061705589294434,6.7032246589660645,117
täiskasvanuid,0.6365267038345337,0.0323731034568818,17,14,9.244627952575684,4.979413986206055,43
puhkusele,0.6356430053710938,0.0318036022985072,17,13,9.933778762817383,4.944507122039795,67
eriarsti,0.6354438662528992,0.0331479361134383,8,16,10.320384979248047,4.1590070724487305,202
kulukaks,0.6353468298912048,0.0317576350468707,4,7,6.30906867980957,4.4592461585998535,34
koolieelses,0.6350134611129761,0.0335489125985374,17,12,8.851028442382812,4.346164703369141,29
katma,0.6347008943557739,0.0306732309233315,11,0,9.097829818725586,7.905120372772217,210
jäämist,0.6345961093902588,0.031571463013489,12,11,8.367999076843262,2.8880882263183594,91
õpingute,0.6330989599227905,0.0345769514413666,3,-1,8.584484100341797,3.6234183311462402,149
teadvusta,0.6325661540031433,0.0336953847154208,12,0,8.708296775817871,5.439865589141846,22
kahanema,0.632442831993103,0.0319065659555117,13,0,8.064139366149902,8.490823745727539,35
individuaalse,0.6323591470718384,0.0327593245546001,17,17,9.651078224182129,3.301063299179077,77
kaasamata,0.6320083737373352,0.0308124632822247,12,5,9.188982009887695,5.530156135559082,49
nõudma,0.6319092512130737,0.0336113229432976,11,0,9.770264625549316,7.668896675109863,252
üldhariduskoolis,0.6307237148284912,0.0329612061372688,12,14,8.9571533203125,4.3593430519104,27
koolikiusamise,0.6307132840156555,0.0333494684074406,12,-1,9.751872062683105,4.563577651977539,22
vedu,0.6297833919525146,0.0315838948835273,17,-1,9.142135620117188,2.9097139835357666,87
jõustus,0.6296887993812561,0.0319136084427903,1,8,7.9650654792785645,6.096740245819092,367
intensiivselt,0.6290497779846191,0.0317521512319998,4,7,6.457455635070801,4.554813861846924,177
võistlema,0.6287446618080139,0.0322770836172019,13,0,8.859573364257812,8.40356159210205,35
kogunema,0.6284494996070862,0.0343990185212668,13,0,9.08787727355957,8.579730033874512,39
karistame,0.62762451171875,0.0345651611995116,12,0,8.992916107177734,6.639542579650879,35
töötukassa,0.6271958947181702,0.0339516360942795,8,18,10.310810089111328,3.558318853378296,1899
kiireloomuline,0.6271138191223145,0.0340365413257311,15,2,6.958856105804443,5.43045711517334,73
kaotati,0.6265818476676941,0.0342744464999579,1,8,8.126340866088867,6.085076808929443,211
erakoolides,0.62575763463974,0.0329784558783945,17,12,8.937326431274414,4.469465255737305,55
koosnema,0.6252915859222412,0.0331213605856581,13,0,8.052535057067871,8.167027473449707,24
eksamiteta,0.6249034404754639,0.0358577725157717,12,-1,9.190227508544922,5.06886625289917,23
koroonaviirust,0.6248278617858887,0.0325048881548125,12,-1,8.568513870239258,2.880545139312744,28
palgaks,0.6246254444122314,0.033787537876441,17,-1,9.222681045532227,3.6526429653167725,67
andmebaasidesse,0.6241574287414551,0.0349680705142497,12,-1,9.493343353271484,2.978569507598877,20
spetsiifiliseks,0.6237110495567322,0.0345678508710659,4,7,6.364500999450684,4.524795055389404,20
sõlmitakse,0.6233466267585754,0.0361327706375838,2,8,8.45244312286377,5.9166364669799805,250
olulisemaks,0.6230025887489319,0.0331023950995551,5,4,12.166716575622559,5.796914100646973,182
arutama,0.6227166056632996,0.0349275903469904,6,0,9.890420913696289,8.514500617980957,1560
kasvamiseks,0.6225384473800659,0.035264261720455,12,-1,9.090242385864258,3.3791630268096924,25
seostuvad,0.621982991695404,0.0347661732468067,12,8,8.388585090637207,5.533646106719971,27
osakoormusega,0.6215746998786926,0.0352862703796588,17,12,8.974987030029297,4.056520462036133,65
viibima,0.6214199066162109,0.0358431077837028,13,0,8.80578327178955,8.349614143371582,33
lihtsamaid,0.6212707757949829,0.0350690611435942,12,5,7.075997829437256,3.492403745651245,59
koolituse,0.6206406354904175,0.0333444669571862,3,-1,9.096668243408203,3.562483549118042,399
astmes,0.6205832958221436,0.0358986642985925,17,12,8.446002960205078,4.7455244064331055,79
elektroonilisi,0.6205745935440063,0.032103091819189,12,5,7.027740001678467,3.44384765625,76
arendama,0.6205211877822876,0.0352558468957333,11,0,9.875653266906738,7.911291599273682,229
lahendatakse,0.6202282905578613,0.0353869080665381,1,8,8.17648696899414,5.968023300170898,401
patsiendiga,0.6202070116996765,0.0356725660545597,12,16,10.600458145141602,3.3247737884521484,20
piiriületust,0.6198312640190125,0.0361364298753699,12,-1,8.977527618408203,2.880182981491089,43
hullemaks,0.6194003224372864,0.0354718155022539,4,6,6.430572986602783,3.9402706623077393,152
avama,0.6190159916877747,0.0377172310456009,16,0,9.785386085510254,8.162764549255371,128
kohandama,0.6187486052513123,0.0361980678695921,13,0,9.885621070861816,8.103288650512695,29
põhikooli,0.6186500787734985,0.0354183265092946,3,-1,8.506410598754883,3.7902045249938965,778
otstarbekaks,0.6183826923370361,0.0343609582817475,5,4,12.358465194702148,5.945505619049072,142
keerukas,0.6183190941810608,0.0359523327024062,15,2,6.811634540557861,5.238636016845703,207
jälgimist,0.6180174350738525,0.0349656958421586,12,-1,9.109587669372559,2.9472668170928955,46
kõrge,0.6174607276916504,0.0387974136553747,14,2,6.864577770233154,5.025055885314941,1684
õpetama,0.6173783540725708,0.0370040218141957,11,0,9.451432228088379,7.14743709564209,224
käivitus,0.617220938205719,0.0363843923257319,1,8,7.879770755767822,6.013374328613281,92
kirjeldama,0.6169832944869995,0.0351926864169691,10,0,9.61463451385498,8.630773544311523,71
keelenõude,0.6164777874946594,0.0358652429903445,12,17,10.079686164855957,2.6392807960510254,34
kvalifikatsioonile,0.616169273853302,0.0341364903255416,17,-1,9.242520332336426,4.010749816894531,30
saavaid,0.616166353225708,0.037208488080918,12,0,9.361618041992188,6.294949054718018,41
pensionipõlve,0.6157779693603516,0.0383088138410692,19,0,12.235157012939453,6.032766342163086,38
elama,0.6155151128768921,0.0369909407040416,0,0,9.769498825073242,6.684933662414551,1026
õppealajuhatajate,0.6152461171150208,0.0347842421223266,17,15,9.281704902648926,3.6048216819763184,30
elatisrahafondi,0.6151658892631531,0.0370296841065769,12,-1,9.358683586120605,3.4916579723358154,27
osaleks,0.6151571273803711,0.035724168179463,12,-1,8.78730297088623,5.2830071449279785,50
töötuks,0.6151400208473206,0.037810462787636,3,13,9.699692726135254,5.113325595855713,292
karistama,0.6147782206535339,0.0354797882065777,11,0,9.406712532043457,7.1020708084106445,89
naistevastast,0.6139813661575317,0.0386521547406358,12,-1,8.541492462158203,3.4378762245178223,28
religioossel,0.6139320135116577,0.0360066984818553,17,17,8.01833438873291,3.380394697189331,30
sekkumist,0.6138100028038025,0.0350036972704821,7,9,8.583163261413574,1.643444299697876,171
õppimist,0.6132572889328003,0.0378121014867156,3,-1,8.67711067199707,3.5676839351654053,137
otsustatakse,0.6131712794303894,0.0375295944719077,1,8,8.312921524047852,6.0660552978515625,428
perearsti,0.6131630539894104,0.0377262607449089,8,16,10.374760627746582,4.00291109085083,745
vajas,0.6129701733589172,0.0361578051283248,17,9,8.47955322265625,1.9267984628677368,82
liikumises,0.6128811240196228,0.0384695475736053,12,-1,9.61203670501709,4.536330699920654,28
looma,0.6127044558525085,0.0374699165460929,11,0,9.456561088562012,8.072616577148438,773
täpseks,0.612102746963501,0.0369697124342882,4,7,6.340308666229248,4.4679856300354,25
kaotaks,0.6118146181106567,0.0369214150413703,12,0,8.6415433883667,5.6663055419921875,129
odavama,0.6114770770072937,0.0362711435736772,12,5,7.146900653839111,3.8536741733551025,113
lasteasutuses,0.6113936305046082,0.0357257793891307,17,12,8.685050010681152,4.5095295906066895,59
kolmandate,0.6111193299293518,0.0376716296395925,17,-1,9.396663665771484,3.179187536239624,398
haigestunud,0.6110601425170898,0.036847441945084,17,14,9.541626930236816,4.780494213104248,57
tankima,0.610484778881073,0.0369113210947091,13,0,9.812541961669922,7.339921951293945,32
hoolitsuseta,0.6102530360221863,0.0397769746514183,17,14,9.366495132446289,4.878376007080078,26
kitsaks,0.6092703938484192,0.0347333538054086,4,7,6.280257225036621,4.439889907836914,32
vastuvõtt,0.6091564893722534,0.0385673443222556,17,12,9.0674409866333,4.104620933532715,82
infotehnoloogiline,0.6091329455375671,0.0375887152343848,12,2,7.097011566162109,5.567570209503174,35
viipekeele,0.6088899970054626,0.0377652987355945,17,-1,9.569842338562012,3.8077547550201416,101
krooniline,0.6087855696678162,0.0380780606591814,12,-1,9.928329467773438,4.41378927230835,47
