,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
veebis,-0.7318935990333557,0.9832636670336417,4,-1,8.92873764038086,13.01994800567627,70
materjal,-0.7314578890800476,0.983789306358739,17,-1,9.277532577514648,12.809316635131836,238
palve,-0.7313382625579834,0.984212153133365,12,-1,7.449202060699463,11.461318969726562,845
joonis,-0.7310623526573181,0.9833126312283892,3,10,8.337276458740234,12.32788372039795,52
ilusal,-0.7305903434753418,0.9841363310512752,17,19,9.90084171295166,12.211639404296875,27
kuula,-0.730094313621521,0.9819177580800192,2,3,4.414124488830566,8.646245002746582,155
1992,-0.7300682067871094,0.9837024910200888,11,1,-4.871456623077393,8.651633262634277,49
ringe,-0.7299978137016296,0.9837134046381798,0,-1,8.43944263458252,9.723721504211426,22
arvasin,-0.7297083735466003,0.9828504635979738,6,3,5.166443824768066,8.408759117126465,171
merd,-0.7295069694519043,0.9838137073974168,1,-1,8.195469856262207,9.063136100769043,56
anne,-0.7294508218765259,0.9829222580538676,12,-1,7.4126505851745605,7.9621901512146,227
irl-iga,-0.7293795347213745,0.9830023502540588,10,2,12.477080345153809,11.320568084716797,30
seinal,-0.7293612957000732,0.9843354648808056,17,19,9.735594749450684,12.122014045715332,24
umbusaldada,-0.7291077971458435,0.9826391293976858,15,4,4.3520379066467285,10.4363374710083,23
kuult,-0.7290647625923157,0.9831561073994196,2,6,4.372777462005615,8.686638832092285,26
ühing,-0.728782594203949,0.9829200782931894,7,24,8.691019058227539,9.882075309753418,172
peata,-0.7283642888069153,0.98280386508255,5,4,4.400125026702881,9.914026260375977,29
idioot,-0.7283478379249573,0.982461829874214,4,-1,8.829004287719727,10.330949783325195,24
võimult,-0.7282910943031311,0.9825719059313054,1,-1,9.360553741455078,10.104819297790527,31
õhuruum,-0.7278041243553162,0.983025914674896,1,-1,8.17745590209961,9.878899574279785,22
müüda,-0.727471113204956,0.9813304862729654,5,4,7.170677661895752,8.628680229187012,30
