,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
sügavamat,0.6139213442802429,0.0343538728988817,1,4,12.124311447143555,1.3709529638290405,34
laiemasse,0.613426148891449,0.0368251094509531,15,3,11.623791694641113,0.5924795866012573,30
sügavama,0.6128286123275757,0.0361767867017154,7,1,11.853734016418457,1.7816157341003418,23
tõsisema,0.6124035716056824,0.0384708811168592,5,1,12.09942626953125,1.5358000993728638,37
hilisema,0.6123830676078796,0.0372221164025843,5,1,12.168740272521973,1.4416626691818237,66
narkootikume,0.6110568642616272,0.0342042542394956,3,6,10.291574478149414,1.7471184730529785,37
ku,0.6110355854034424,0.0387714770542194,6,6,10.54065227508545,1.6011186838150024,41
tartusse,0.6105178594589233,0.0367428198686605,4,2,10.791873931884766,0.5119954943656921,221
põhikoolis,0.6100994944572449,0.0391891008907809,9,7,8.951128959655762,1.4235343933105469,273
täiskasvanute,0.6100672483444214,0.039186332741786,2,6,10.15361213684082,1.0544244050979614,423
hilisemas,0.6100475192070007,0.0376336970703982,1,4,12.058722496032715,1.1395385265350342,55
haiseb,0.6099586486816406,0.0380233985803322,16,5,10.634003639221191,2.79038405418396,27
vaese,0.609897792339325,0.0374806904554888,19,6,10.924358367919922,1.759706735610962,44
137,0.6097177863121033,0.037279687010418,11,0,7.127291202545166,-5.459955215454102,65
461,0.6091267466545105,0.0426031505917033,11,0,7.4870147705078125,-5.726819038391113,29
798,0.6086533069610596,0.0378615939363073,11,0,7.5305585861206055,-5.732154846191406,26
nõrgemas,0.6085405349731445,0.0385480319414572,1,4,12.016873359680176,1.1432043313980103,21
üldisem,0.6081914305686951,0.040803768315469,1,4,12.732582092285156,1.1769744157791138,152
levib,0.6081461310386658,0.0412119696701158,16,5,10.668157577514648,2.7491142749786377,202
354,0.6080873608589172,0.0386536432968596,11,0,7.363087177276611,-5.575650215148926,34
sünnib,0.6078048944473267,0.0368321297860125,16,5,10.671525955200195,2.7102723121643066,457
peresse,0.6066475510597229,0.0369121774048725,4,2,10.843995094299316,0.4978039264678955,24
võõrkeelse,0.6062084436416626,0.0366495355088913,19,6,10.19016170501709,1.9823371171951294,24
433,0.6060373187065125,0.0389647925742198,11,0,7.4888176918029785,-5.7154316902160645,22
õnnetusse,0.6055840849876404,0.0374193830980142,4,2,10.83236026763916,0.4732544422149658,20
kasvatav,0.6055417656898499,0.0384267250537643,14,5,11.192122459411621,2.539475202560425,34
alama,0.6055358052253723,0.0364431103051884,10,1,11.751484870910645,1.8546161651611328,32
õppes,0.6049959063529968,0.0398056162087945,0,7,9.176156997680664,1.1081008911132812,154
täpsema,0.604682207107544,0.0406947259361811,5,1,12.24474811553955,1.5401393175125122,145
ohvriabi,0.604193389415741,0.0412335392368853,3,6,10.44175910949707,1.9403791427612305,113
kõlama,0.6036518812179565,0.0383801667736403,7,1,11.664824485778809,1.9548312425613403,502
pedagoogilise,0.6025989651679993,0.0397613004977949,19,6,10.21751594543457,2.015272617340088,34
õigem,0.6020553112030029,0.0368614041753726,1,4,12.789745330810547,1.1224279403686523,582
kolme-,0.6018343567848206,0.0386209757327217,3,6,7.291255474090576,-5.406811714172363,36
iva,0.6014780402183533,0.0366321869955028,6,6,10.483590126037598,2.214933395385742,483
