topic_words3,EKRE,Fraktsioonitud,difference
aituma infotundi jahimehed,0.000433463372345,0.0,100.0
erso teatri kontserdi,0.000433463372345,0.0,100.0
est kavatsuste for,0.000433463372345,0.0,100.0
hooldekodus hoolduse hooldekodu,0.000433463372345,0.0,100.0
lng terminali gaasi,0.000433463372345,0.0,100.0
annetused annetusi annetuste,0.000433463372345,0.0,100.0
maavalitsuste maavalitsused maakonna,0.000433463372345,0.0,100.0
tooandja tervisesse maksuvabalt,0.000433463372345,0.0,100.0
tervist tervis tervisega,0.000433463372345,0.0,100.0
toovoimereformi toovoimega toovoimereform,0.000433463372345,0.0,100.0
vanemahuvitist vanemahuvitise vanemahuvitis,0.000433463372345,0.0,100.0
valimiskomisjon proteste valimiskasti,0.000433463372345,0.0,100.0
skais arendused infosusteemide,0.0,0.0,
liiklussurmade liikluses hukkunute,0.0,0.0,
magustatud suhkrut joogi,0.0,0.0,
memorandumi moistmise memorandum,0.0,0.0,
oppelaenu sugava puudega,0.0,0.0,
riigimetsa majandamise noukokku,0.0,0.0,
rongi rongide rongid,0.0,0.0,
seksuaalse vangistusega vaarkohtlemise,0.0,0.0,
tantsupeo laulu traditsiooni,0.0,0.0,
sularaha kommertspangad pangad,0.0,0.0,
talupidajate kaubanduskoja kaubanduskoda,0.0,0.0,
treenerite spordi sport,0.0,0.0,
teekasutustasu autode autod,0.0,0.0,
teenuseid teenused teenust,0.0,0.0,
valimisea valimisiga valimisoiguse,0.0,0.0,
vagivalla naistevastase perevagivalla,0.0,0.0,
laari laar kandidatuuri,0.0,0.0,
lae korgepalgaliste lagi,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0204081632653061,-inf
kusija vastaja vastasin,0.0,0.0,
haalte kandidaatidele haaletamisest,0.0,0.0,
kodualuse maamaksu maamaksust,0.0,0.0204081632653061,-inf
muraste kase kompleksi,0.0,0.0204081632653061,-inf
kinnisasja maad maa,0.0,0.0204081632653061,-inf
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
ametipalkade riigiteenijate korgemate,0.0,0.0,
erimargistatud kutust kutuse,0.0,0.0,
fie fuusilisest isikust,0.0,0.0,
hambaravi hammaste hambad,0.0,0.0,
korteriuhistu korteriomanike korteriuhistute,0.0,0.0,
hansson ardo panga,0.0,0.0,
kandidaadi kandidaati kandidaat,0.0,0.0,
kasvavad tuleval kasv,0.0,0.0,
kohanimenoukogu vonnu mulgi,0.0,0.0,
koneleja konsensuslikud repliigi,0.0,0.0,
konkurss konkursi konkurssi,0.0,0.0,
koolilouna koolitoidu koolitoit,0.0,0.0,
vee monopolide veeteenuse,0.0,0.0,
