2010 vs 2011,2011 vs 2012,2012 vs 2013,2013 vs 2014,2014 vs 2015,2015 vs 2016,2016 vs 2017,2017 vs 2018,2018 vs 2019,2019 vs 2020,2020 vs 2021,2021 vs 2022
poolte kokkuleppel huvitise 0.416% -> 0.26% (-37.585%),kaitsekulud kaitsekulutused kaitsekulude 0.292% -> 0.159% (-45.629%),riigipalgaliste riigisektoris koondada 0.185% -> 0.084% (-54.463%),pagulasi pagulased pagulaste 0.105% -> 0.025% (-75.986%),abipolitseinik abipolitseiniku abipolitseinike 0.114% -> 0.056% (-50.914%),korterelamute kortermajade kredexi 0.308% -> 0.179% (-41.954%),katteallikas katteallikaid katteallikat 0.347% -> 0.199% (-42.479%),vee monopolide veeteenuse 0.063% -> 0.013% (-79.733%),lasteaia lasteaias lasteaiakoha 0.408% -> 0.233% (-42.893%),kirik kiriku maarja 0.215% -> 0.101% (-53.077%),majandusaasta koondaruanne raamatupidamise 0.37% -> 0.211% (-42.985%),metsa metsade mets 1.314% -> 0.978% (-25.584%)
seksuaalse vangistusega vaarkohtlemise 0.088% -> 0.016% (-81.61%),veb fondi uurimiskomisjon 0.146% -> 0.053% (-63.753%),rahvuse rahvust rahvusriik 0.331% -> 0.19% (-42.623%),annetus erjk annetuse 0.127% -> 0.038% (-69.983%),haalte kandidaatidele haaletamisest 0.114% -> 0.056% (-50.914%),untso missioonide liikmesusest 0.405% -> 0.252% (-37.833%),kohtutaiturite kohtutaitur kohtutaituri 0.179% -> 0.073% (-58.862%),tooandja tervisesse maksuvabalt 0.21% -> 0.115% (-45.279%),tooandja tooandjal tootaja 0.268% -> 0.126% (-53.143%),palgalohe soolist meeste 0.341% -> 0.191% (-44.021%),liibanonis missioonil pikendamine 0.325% -> 0.176% (-45.934%),riigipalgaliste riigisektoris koondada 0.223% -> 0.092% (-58.617%)
kandidaati kandidaat valituks 0.302% -> 0.162% (-46.362%),kirik kiriku maarja 0.146% -> 0.053% (-63.753%),tooandja tooandjal tootaja 0.304% -> 0.169% (-44.563%),ammendumiseni kaheni pikendada 0.19% -> 0.076% (-59.977%),tootuid tootute tootu 0.405% -> 0.266% (-34.424%),riigimetsa majandamise noukokku 0.154% -> 0.063% (-59.026%),riigiloivude riigiloivud riigiloivu 0.179% -> 0.073% (-58.862%),aituma infotundi jahimehed 0.388% -> 0.255% (-34.269%),pensioni pension sammas 0.88% -> 0.61% (-30.733%),aasia aasias saatkonna 0.61% -> 0.404% (-33.755%),riigireformi riigireformist riigireform 0.281% -> 0.141% (-49.827%),teede teehoiuks teedele 0.223% -> 0.092% (-58.617%)
aituma infotundi jahimehed 0.302% -> 0.162% (-46.362%),haalte kandidaatidele haaletamisest 0.146% -> 0.053% (-63.753%),valimisea valimisiga valimisoiguse 0.251% -> 0.127% (-49.669%),mes maale maaelu 0.232% -> 0.101% (-56.339%),kulukuse krediidi kiirlaenude 0.443% -> 0.294% (-33.734%),koolis kooli opilased 2.964% -> 2.531% (-14.606%),direktiivi direktiiv ulevotmise 0.641% -> 0.43% (-32.85%),inimarengu aruanne aruandes 0.325% -> 0.204% (-37.237%),eripensioni valjateenitud staazi 0.166% -> 0.054% (-67.56%),relva relvade relvaluba 0.251% -> 0.123% (-50.842%),mes maale maaelu 0.281% -> 0.141% (-49.827%),treenerite spordi sport 0.328% -> 0.166% (-49.453%)
lipu laevu kaubalaeva 0.176% -> 0.065% (-63.22%),ts parvlaeva parvlaevad 0.227% -> 0.106% (-53.396%),ulikooliga kbfi instituudi 0.106% -> 0.021% (-80.077%),riigikontrolli auditi auditit 0.633% -> 0.405% (-35.964%),puude raskusastme puuet 0.114% -> 0.042% (-63.185%),kaasne lisakulutusi riigieelarvele 0.503% -> 0.326% (-35.314%),elektri elektrit taastuvenergia 1.019% -> 0.745% (-26.873%),arengufond arengufondi arengufondis 0.955% -> 0.74% (-22.495%),puude raskusastme puuet 0.281% -> 0.126% (-55.273%),teadus teaduse arendustegevuse 1.22% -> 0.909% (-25.475%),pohiseadusega riigikohus oiguskantsler 0.976% -> 0.704% (-27.912%),salvestisi salvestised salvestiste 0.927% -> 0.627% (-32.32%)
id mobiil kaardi 0.202% -> 0.081% (-59.772%),korterid kortereid korterit 0.357% -> 0.198% (-44.393%),karistuse karistus tingimisi 1.323% -> 0.991% (-25.091%),id mobiil kaardi 0.506% -> 0.304% (-39.966%),huvigruppe huvigruppide kaasatud 1.152% -> 0.895% (-22.325%),piirilepingu piirileping piirilepingut 0.909% -> 0.662% (-27.193%),otsevalimise presidenti presidendi 0.578% -> 0.367% (-36.424%),erimargistatud kutust kutuse 0.178% -> 0.089% (-49.928%),arengufond arengufondi arengufondis 0.74% -> 0.466% (-36.985%),lahususe voimude lahusus 0.413% -> 0.236% (-42.876%),lasteaia lasteaias lasteaiakoha 0.572% -> 0.364% (-36.464%),pensioni pension sammas 0.152% -> 0.037% (-75.807%)
energiaagentuur agentuuri agentuur 0.769% -> 0.519% (-32.469%),vaikesaarte saarte pusiasustusega 0.243% -> 0.106% (-56.503%),aituma infotundi jahimehed 0.384% -> 0.211% (-45.041%),jarviku jarvik maaeluministri 0.358% -> 0.19% (-47.029%),raamatukogu pimedate raamatukogude 0.076% -> 0.014% (-81.593%),loomi loomade loomad 0.35% -> 0.2% (-42.91%),oiglase virumaale ulemineku 0.158% -> 0.052% (-66.698%),eelarvele kulude riigieelarvele 0.283% -> 0.166% (-41.451%),annetused annetusi annetuste 0.217% -> 0.072% (-66.924%),rongi rongide rongid 0.197% -> 0.079% (-60.186%),volakirjade keskpank volakirju 0.471% -> 0.282% (-40.27%),opositsioonis koalitsiooni opositsiooni 2.065% -> 1.605% (-22.266%)
vaesuses suhtelises vaesuse 0.87% -> 0.6% (-30.97%),omandireformi tagastatud omandireform 0.243% -> 0.106% (-56.503%),kandideerima ametikohale kandidaatide 0.119% -> 0.021% (-82.291%),opositsiooni koalitsioonil opositsioonil 0.38% -> 0.203% (-46.636%),tooandja tooandjal tootaja 0.291% -> 0.154% (-47.179%),tsernoboli represseeritud oigusvastaselt 0.084% -> 0.011% (-87.48%),aituma infotundi jahimehed 0.63% -> 0.388% (-38.392%),toovoimereformi toovoimega toovoimereform 0.325% -> 0.191% (-41.16%),slovakkia ungari portugal 0.778% -> 0.484% (-37.78%),kauguhendus avaksite ettekandjalt 0.341% -> 0.18% (-47.314%),sularaha kommertspangad pangad 0.112% -> 0.023% (-79.095%),deklaratsiooni deklaratsioone deklaratsioonis 0.293% -> 0.129% (-55.968%)
normitehnika mojude eeskiri 0.353% -> 0.178% (-49.427%),kusimusena tahtsa tahtsusega 0.227% -> 0.093% (-59.222%),puude raskusastme puuet 0.119% -> 0.021% (-82.291%),volitust kaasuses jarvik 0.127% -> 0.025% (-79.989%),inimarengu aruanne aruandes 0.253% -> 0.126% (-50.3%),sularaha kommertspangad pangad 0.405% -> 0.242% (-40.423%),idapiiri piiririba valjaehitamine 0.284% -> 0.126% (-55.598%),soita jalakaija konniteel 0.504% -> 0.332% (-34.132%),liiklussurmade liikluses hukkunute 0.255% -> 0.09% (-64.857%),valispoliitika valispoliitikas diplomaatia 0.807% -> 0.55% (-31.874%),danske filiaali rahapesu 0.382% -> 0.211% (-44.662%),uhistranspordi uhistransport uhistransporti 0.293% -> 0.129% (-55.968%)
keeleoskust oskuse keeleoskuse 0.139% -> 0.032% (-76.594%),piirilepingu piirileping piirilepingut 0.341% -> 0.172% (-49.513%),objekti anu raua 0.251% -> 0.105% (-58.058%),utah jordaania energia 0.169% -> 0.051% (-69.983%),majandusaasta koondaruanne raamatupidamise 0.279% -> 0.14% (-49.798%),objekti anu raua 0.21% -> 0.095% (-54.929%),konkurss konkursi konkurssi 0.315% -> 0.136% (-56.708%),riigiabi komisjonilt loa 0.409% -> 0.255% (-37.64%),kala kalurid kalurite 0.153% -> 0.018% (-88.286%),missiooni missioonile missioon 0.771% -> 0.516% (-33.071%),laari laar kandidatuuri 0.101% -> 0.012% (-88.386%),teekasutustasu autode autod 0.129% -> 0.018% (-85.704%)
loomi loomade loomad 0.214% -> 0.081% (-62.138%),laari laar kandidatuuri 0.114% -> 0.013% (-88.349%),tootuli lepitaja ametiuhingute 0.159% -> 0.042% (-73.437%),huvigruppe huvigruppide kaasatud 1.539% -> 1.152% (-25.163%),vaesuses suhtelises vaesuse 0.203% -> 0.084% (-58.583%),lapsetoetust lapsetoetus lapsetoetuse 0.755% -> 0.525% (-30.446%),leping ratifitseerida lepinguga 0.809% -> 0.504% (-37.721%),oppelaenu sugava puudega 0.21% -> 0.102% (-51.359%),taanis saksamaal hollandis 0.549% -> 0.287% (-47.694%),vallaga vald sauga 0.395% -> 0.213% (-45.967%),relva relvade relvaluba 0.123% -> 0.023% (-80.995%),haalte kandidaatidele haaletamisest 0.188% -> 0.055% (-70.515%)
uuring uuringut uuringu 0.428% -> 0.227% (-46.993%),valimisliitude volikogusse volikokku 0.503% -> 0.291% (-42.121%),elatisraha elatisabi elatise 0.159% -> 0.042% (-73.437%),seksuaalse vangistusega vaarkohtlemise 0.148% -> 0.025% (-82.847%),kala kalurid kalurite 0.266% -> 0.126% (-52.667%),memorandumi moistmise memorandum 0.182% -> 0.074% (-59.551%),kontroll kohaloleku registreeris 0.158% -> 0.01% (-93.34%),piirikontrolli schengeni valispiiri 0.178% -> 0.077% (-57.081%),korruptsiooni korruptsioon korruptsiooniga 0.306% -> 0.108% (-64.857%),vabatahtlike komandode paasteameti 0.395% -> 0.213% (-45.967%),lisaeelarve lisaeelarves lisaeelarvega 1.077% -> 0.762% (-29.226%),president ilves presidendi 0.141% -> 0.018% (-86.895%)
pollumeestele pollumehi pollumehed 0.744% -> 0.454% (-38.907%),annetus erjk annetuse 0.195% -> 0.066% (-66.018%),riigiloivude riigiloivud riigiloivu 0.767% -> 0.485% (-36.797%),aasia aasias saatkonna 0.612% -> 0.354% (-42.036%),tapsustatakse ajakohastatakse nouete 0.734% -> 0.489% (-33.353%),terviseandmed isikuandmeid terviseandmeid 0.671% -> 0.441% (-34.271%),tooandja tervisesse maksuvabalt 0.441% -> 0.21% (-52.426%),valijate erakonda valijaid 0.609% -> 0.408% (-32.909%),vallaga vald sauga 0.715% -> 0.395% (-44.775%),oigusloome oigusloomes oiguspoliitika 0.161% -> 0.045% (-72.194%),rahapesu terrorismi andmeburoo 0.236% -> 0.094% (-60.18%),valispoliitika valispoliitikas diplomaatia 0.633% -> 0.369% (-41.757%)
ajakirjandus ajakirjanduse ajakirjandust 0.643% -> 0.373% (-41.945%),liibanonis missioonil pikendamine 0.373% -> 0.185% (-50.357%),muugimaksu muugimaks paadimaksu 0.146% -> 0.021% (-85.511%),hanke hankija riigihangete 0.464% -> 0.241% (-48.152%),tootuna arvele ariuhingu 0.241% -> 0.098% (-59.31%),magustatud suhkrut joogi 0.112% -> 0.021% (-81.22%),muuseum muuseumi muuseumide 0.336% -> 0.136% (-59.413%),haale valimispaeval valimiste 0.913% -> 0.664% (-27.318%),vanemahuvitist vanemahuvitise vanemahuvitis 0.472% -> 0.215% (-54.409%),post posti omniva 0.179% -> 0.056% (-68.718%),oiglase virumaale ulemineku 0.931% -> 0.633% (-31.994%),valijate erakonda valijaid 0.387% -> 0.184% (-52.347%)
viirust vaktsineeritud viiruse 0.239% -> 0.081% (-66.123%),ulejaagis struktuurses struktuurse 1.752% -> 1.323% (-24.485%),skais arendused infosusteemide 0.146% -> 0.021% (-85.511%),konkurss konkursi konkurssi 0.358% -> 0.139% (-61.154%),kantsler kantsleri riigisekretar 0.38% -> 0.196% (-48.459%),tulubaasi omavalitsustele omavalitsuste 1.021% -> 0.725% (-28.997%),president ilves presidendi 0.21% -> 0.052% (-75.024%),matusetoetust matusetoetus matusetoetuse 0.094% -> 0.013% (-86.489%),teekasutustasu autode autod 0.191% -> 0.018% (-90.629%),rahvuse rahvust rahvusriik 0.753% -> 0.483% (-35.946%),estonian air airi 0.146% -> 0.035% (-75.878%),jarviku jarvik maaeluministri 0.833% -> 0.516% (-37.984%)
pealinnast tallinnast viljandisse 0.239% -> 0.081% (-66.123%),ammendumiseni kaheni pikendada 0.357% -> 0.172% (-51.808%),vagivallale vihakone ohutamine 0.49% -> 0.253% (-48.309%),efsf esm kreekale 0.907% -> 0.544% (-39.966%),rahvahaaletuse rahvahaaletus rahvahaaletusel 0.405% -> 0.21% (-48.229%),slovakkia ungari portugal 0.853% -> 0.578% (-32.27%),hambaravi hammaste hambad 0.284% -> 0.094% (-66.698%),tsernoboli represseeritud oigusvastaselt 0.094% -> 0.013% (-86.489%),kohtutaiturite kohtutaitur kohtutaituri 0.447% -> 0.197% (-55.82%),hansson ardo panga 0.126% -> 0.011% (-91.062%),elatisraha elatisabi elatise 0.202% -> 0.07% (-65.158%),haaletamissedel haaletamiskasti sedeli 0.176% -> 0.037% (-79.033%)
eripensioni valjateenitud staazi 0.214% -> 0.065% (-69.71%),oigusloome oigusloomes oiguspoliitika 0.243% -> 0.093% (-61.94%),kaitsekulud kaitsekulutused kaitsekulude 0.159% -> 0.021% (-86.718%),vanemahuvitist vanemahuvitise vanemahuvitis 0.633% -> 0.329% (-47.97%),vee monopolide veeteenuse 0.215% -> 0.056% (-74.013%),riigipuha puhade tahtpaevade 0.224% -> 0.084% (-62.441%),kinnisasja maad maa 1.05% -> 0.661% (-37.059%),huvigruppe huvigruppide kaasatud 0.86% -> 0.6% (-30.301%),tantsupeo laulu traditsiooni 0.421% -> 0.179% (-57.403%),vaesuses suhtelises vaesuse 0.413% -> 0.213% (-48.316%),hanke hankija riigihangete 0.483% -> 0.27% (-44.09%),borsile ipo enefit 0.293% -> 0.111% (-62.259%)
lae korgepalgaliste lagi 0.189% -> 0.049% (-74.254%),teatri teater rahvusooper 0.162% -> 0.04% (-75.533%),korterelamute kortermajade kredexi 0.41% -> 0.19% (-53.728%),keeleoskust oskuse keeleoskuse 0.422% -> 0.177% (-57.976%),sularaha kommertspangad pangad 0.709% -> 0.405% (-42.806%),joustumine joustuma joustada 1.049% -> 0.725% (-30.891%),utah jordaania energia 0.21% -> 0.042% (-80.019%),hoone rkas hoonet 0.661% -> 0.434% (-34.373%),missiooni missioonile missioon 1.199% -> 0.771% (-35.696%),id mobiil kaardi 0.287% -> 0.123% (-56.987%),piima toorpiima toodangut 0.325% -> 0.152% (-53.143%),utah jordaania energia 0.164% -> 0.018% (-88.767%)
muuseum muuseumi muuseumide 0.29% -> 0.114% (-60.821%),valijate erakonda valijaid 0.487% -> 0.265% (-45.629%),korruptsiooni korruptsioon korruptsiooniga 0.225% -> 0.063% (-71.874%),oppelaenu sugava puudega 0.232% -> 0.051% (-78.169%),vanemahuvitist vanemahuvitise vanemahuvitis 0.329% -> 0.126% (-61.769%),pensionifondide pensionifondid fondid 0.769% -> 0.494% (-35.808%),suuria euroopasse turgis 0.294% -> 0.094% (-67.887%),riigimetsa majandamise noukokku 0.136% -> 0.038% (-71.938%),moisteid moiste moisted 0.727% -> 0.395% (-45.744%),maantee neljarealiseks ppp 0.861% -> 0.561% (-34.829%),korteriuhistu korteriomanike korteriuhistute 0.191% -> 0.059% (-69.257%),jalitustegevuse jalitustoimingu sideandmete 0.164% -> 0.018% (-88.767%)
terviseandmed isikuandmeid terviseandmeid 0.618% -> 0.341% (-44.83%),jalitustegevuse jalitustoimingu sideandmete 0.47% -> 0.251% (-46.566%),hoone rkas hoonet 0.622% -> 0.337% (-45.743%),metsa metsade mets 0.337% -> 0.101% (-69.983%),psuhhiaatri alaealine psuhhiaatrilist 0.987% -> 0.615% (-37.698%),post posti omniva 0.35% -> 0.168% (-51.924%),eriarstide eriarstiabi eriarsti 1.912% -> 1.354% (-29.188%),hanke hankija riigihangete 0.682% -> 0.447% (-34.522%),planeeringu keskkonnamoju keskkonnamojude 0.268% -> 0.072% (-73.224%),iive sundimus iibe 0.323% -> 0.146% (-54.815%),puude raskusastme puuet 0.348% -> 0.164% (-52.794%),muuseum muuseumi muuseumide 0.27% -> 0.092% (-65.814%)
maavalitsuste maavalitsused maakonna 0.996% -> 0.633% (-36.449%),tapsustatakse ajakohastatakse nouete 0.649% -> 0.384% (-40.872%),domeenide domeeni interneti 0.185% -> 0.021% (-88.616%),vaikesaarte saarte pusiasustusega 0.38% -> 0.127% (-66.648%),prokuratuur prokuratuuri prokuror 1.127% -> 0.727% (-35.471%),hiv narkomaania epideemia 0.294% -> 0.126% (-57.075%),aasia aasias saatkonna 0.599% -> 0.294% (-50.924%),toonadalal istungid taiendaval 0.766% -> 0.51% (-33.369%),kusimusena tahtsa tahtsusega 0.268% -> 0.072% (-73.224%),riigikontrolli auditi auditit 0.448% -> 0.236% (-47.446%),pensioni pension sammas 0.337% -> 0.152% (-54.705%),hoiu pangad pankade 0.246% -> 0.074% (-70.047%)
alkoholi kange lahja 0.958% -> 0.6% (-37.328%),kohtla jarve johvi 0.292% -> 0.119% (-59.222%),borsile ipo enefit 0.463% -> 0.211% (-54.463%),samba sammas sambasse 0.422% -> 0.152% (-63.98%),joustumine joustuma joustada 1.519% -> 1.049% (-30.972%),valijate erakonda valijaid 0.797% -> 0.504% (-36.742%),veb fondi uurimiskomisjon 0.263% -> 0.063% (-76.023%),lae korgepalgaliste lagi 0.168% -> 0.051% (-69.599%),noukogudesse ariuhingute noukogudes 0.485% -> 0.215% (-55.609%),liibanonis missioonil pikendamine 0.574% -> 0.325% (-43.301%),talupidajate kaubanduskoja kaubanduskoda 0.146% -> 0.023% (-83.919%),oigusriik oigusriigi oigusriigist 0.493% -> 0.24% (-51.326%)
reklaami reklaam alkoholireklaam 0.265% -> 0.081% (-69.35%),ugri rahvaste polisrahvaste 0.146% -> 0.013% (-90.938%),kandidaati kandidaat valituks 0.344% -> 0.127% (-63.22%),palgatousu opetajate palgatous 0.991% -> 0.557% (-43.798%),fie fuusilisest isikust 0.304% -> 0.098% (-67.787%),noukogudesse ariuhingute noukogudes 0.643% -> 0.378% (-41.211%),valimisea valimisiga valimisoiguse 0.378% -> 0.136% (-63.923%),id mobiil kaardi 0.462% -> 0.255% (-44.726%),ametiuhingute tooandjate keskliit 0.523% -> 0.233% (-55.429%),lipu laevu kaubalaeva 0.538% -> 0.292% (-45.778%),alkoholi kange lahja 0.797% -> 0.493% (-38.167%),liibanonis missioonil pikendamine 0.176% -> 0.018% (-89.516%)
vanemahuvitist vanemahuvitise vanemahuvitis 0.517% -> 0.243% (-52.903%),tsernoboli represseeritud oigusvastaselt 0.178% -> 0.013% (-92.586%),inflatsiooni inflatsioon hinnatous 0.225% -> 0.042% (-81.249%),pollumeestele pollumehi pollumehed 1.033% -> 0.582% (-43.641%),matusetoetust matusetoetus matusetoetuse 0.215% -> 0.028% (-87.007%),annetused annetusi annetuste 0.21% -> 0.063% (-69.953%),pollumeestele pollumehi pollumehed 1.344% -> 0.86% (-35.998%),tulubaasi omavalitsustele omavalitsuste 0.63% -> 0.383% (-39.199%),kinnisasja maad maa 0.6% -> 0.287% (-52.146%),normitehnika mojude eeskiri 0.359% -> 0.157% (-56.205%),ulikooliga kbfi instituudi 0.224% -> 0.07% (-68.642%),untso missioonide liikmesusest 0.199% -> 0.037% (-81.499%)
erso teatri kontserdi 0.252% -> 0.065% (-74.254%),uhistranspordi uhistransport uhistransporti 0.195% -> 0.04% (-79.611%),eripensioni valjateenitud staazi 0.225% -> 0.042% (-81.249%),majandusaasta koondaruanne raamatupidamise 0.633% -> 0.279% (-55.975%),maantee neljarealiseks ppp 0.43% -> 0.168% (-61.02%),piima toorpiima toodangut 0.881% -> 0.557% (-36.805%),virumaale virumaa toostusalade 0.977% -> 0.567% (-41.99%),valimisliitude volikogusse volikokku 2.151% -> 1.684% (-21.7%),pensioniiga pensioniea eluiga 0.447% -> 0.179% (-59.837%),pensioni pension sammas 0.61% -> 0.337% (-44.796%),joustumine joustuma joustada 0.976% -> 0.622% (-36.322%),kasvavad tuleval kasv 0.188% -> 0.018% (-90.172%)
eelarves riigieelarves reservist 1.374% -> 0.908% (-33.863%),maavalitsuste maavalitsused maakonna 0.633% -> 0.344% (-45.629%),nord stream streami 0.278% -> 0.063% (-77.231%),vallaga vald sauga 1.202% -> 0.696% (-42.072%),lng terminali gaasi 0.367% -> 0.126% (-65.724%),otsevalimise presidenti presidendi 0.909% -> 0.578% (-36.438%),nord stream streami 0.336% -> 0.105% (-68.78%),fie fuusilisest isikust 0.283% -> 0.115% (-59.466%),kaibemaksu kaibemaks kaibemaksumaara 0.345% -> 0.108% (-68.762%),kaasne lisakulutusi riigieelarvele 0.43% -> 0.202% (-53.077%),tulubaasi tasandusfondi tulumaksuosa 0.337% -> 0.129% (-61.673%),valimiskomisjon proteste valimiskasti 0.235% -> 0.055% (-76.412%)
karistuse karistus tingimisi 0.807% -> 0.454% (-43.68%),hoone rkas hoonet 0.99% -> 0.622% (-37.161%),elektri elektrit taastuvenergia 2.673% -> 1.961% (-26.622%),korteriuhistu korteriomanike korteriuhistute 0.759% -> 0.354% (-53.307%),ootuse oigusparase oiguskindluse 0.443% -> 0.168% (-62.133%),piirikontrolli schengeni valispiiri 0.364% -> 0.158% (-56.662%),salastatud valisteabe riigisaladuse 0.273% -> 0.063% (-76.945%),koolis kooli opilased 3.956% -> 3.279% (-17.104%),piima toorpiima toodangut 0.293% -> 0.072% (-75.553%),opositsioonis koalitsiooni opositsiooni 2.35% -> 1.784% (-24.063%),jarviku jarvik maaeluministri 1.257% -> 0.833% (-33.737%),vagivallale vihakone ohutamine 1.607% -> 1.107% (-31.129%)
ametiuhingute tooandjate keskliit 0.454% -> 0.195% (-57.09%),president ilves presidendi 0.211% -> 0.04% (-81.179%),vaesuses suhtelises vaesuse 0.662% -> 0.316% (-52.186%),lapsetoetust lapsetoetus lapsetoetuse 3.016% -> 2.14% (-29.051%),reklaami reklaam alkoholireklaam 0.76% -> 0.378% (-50.3%),tulumaksuvaba maksususteemi tulumaksu 2.489% -> 1.912% (-23.193%),elamisluba elamisloa viisa 0.809% -> 0.43% (-46.804%),hansson ardo panga 0.315% -> 0.128% (-59.466%),teenuseid teenused teenust 0.332% -> 0.09% (-72.967%),laari laar kandidatuuri 0.287% -> 0.101% (-64.808%),maantee neljarealiseks ppp 0.561% -> 0.282% (-49.827%),id mobiil kaardi 0.469% -> 0.203% (-56.755%)
hanke hankija riigihangete 0.958% -> 0.568% (-40.716%),vagivalla naistevastase perevagivalla 0.438% -> 0.185% (-57.711%),deklaratsiooni deklaratsioone deklaratsioonis 0.357% -> 0.105% (-70.485%),teadus teaduse arendustegevuse 0.759% -> 0.329% (-56.642%),pensionitous pensionitousu pension 0.646% -> 0.294% (-54.523%),suuria euroopasse turgis 0.559% -> 0.294% (-47.417%),lae korgepalgaliste lagi 0.441% -> 0.168% (-61.941%),sigade katku katk 0.241% -> 0.077% (-68.278%),muuseum muuseumi muuseumide 0.255% -> 0.036% (-85.943%),palgatousu opetajate palgatous 1.435% -> 0.965% (-32.743%),soita jalakaija konniteel 0.976% -> 0.598% (-38.725%),miili baasvorgu lairiba 0.516% -> 0.221% (-57.112%)
relva relvade relvaluba 0.214% -> 0.016% (-92.428%),piima toorpiima toodangut 0.438% -> 0.185% (-57.711%),slovakkia ungari portugal 0.886% -> 0.464% (-47.666%),arengufond arengufondi arengufondis 1.392% -> 0.785% (-43.604%),ene ergma aplaus 0.291% -> 0.056% (-80.792%),kulukuse krediidi kiirlaenude 0.294% -> 0.105% (-64.229%),haalte kandidaatidele haaletamisest 0.252% -> 0.042% (-83.349%),korterelamute kortermajade kredexi 0.378% -> 0.153% (-59.466%),elamisluba elamisloa viisa 0.498% -> 0.197% (-60.352%),teenistuse teenistuses avalikus 0.341% -> 0.112% (-67.071%),kontroll kohaloleku registreeris 0.269% -> 0.07% (-73.868%),kaitsekulud kaitsekulutused kaitsekulude 0.504% -> 0.203% (-59.772%)
salastatud valisteabe riigisaladuse 0.239% -> 0.049% (-79.674%),kala kalurid kalurite 0.422% -> 0.172% (-59.222%),abipolitseinik abipolitseiniku abipolitseinike 0.331% -> 0.063% (-80.874%),tulubaasi omavalitsustele omavalitsuste 1.392% -> 0.772% (-44.514%),rongi rongide rongid 0.316% -> 0.07% (-77.911%),eelarves riigieelarves reservist 1.356% -> 0.924% (-31.851%),vaesuses suhtelises vaesuse 0.284% -> 0.063% (-77.799%),ootuse oigusparase oiguskindluse 0.283% -> 0.089% (-68.473%),maavalitsuste maavalitsused maakonna 0.345% -> 0.09% (-73.968%),riigireformi riigireformist riigireform 0.592% -> 0.281% (-52.603%),konkurss konkursi konkurssi 0.269% -> 0.07% (-73.868%),maantee neljarealiseks ppp 0.282% -> 0.055% (-80.343%)
muundatud geneetiliselt gmo 0.265% -> 0.049% (-81.61%),eriarstide eriarstiabi eriarsti 2.109% -> 1.495% (-29.109%),toonadalal istungid taiendaval 1.204% -> 0.675% (-43.954%),kulukuse krediidi kiirlaenude 0.949% -> 0.443% (-53.307%),karistuse karistus tingimisi 0.912% -> 0.475% (-47.846%),psuhhiaatri alaealine psuhhiaatrilist 0.615% -> 0.326% (-47.075%),matusetoetust matusetoetus matusetoetuse 0.336% -> 0.094% (-71.902%),rongi rongide rongid 0.231% -> 0.051% (-77.89%),pealinnast tallinnast viljandisse 0.664% -> 0.287% (-56.747%),keeleoskust oskuse keeleoskuse 0.269% -> 0.056% (-79.145%),etv saateid pbk 0.718% -> 0.375% (-47.736%),annetus erjk annetuse 0.422% -> 0.129% (-69.422%)
kala kalurid kalurite 0.807% -> 0.422% (-47.703%),teede teehoiuks teedele 0.519% -> 0.212% (-59.222%),volakirjade keskpank volakirju 0.767% -> 0.337% (-56.033%),noukogudesse ariuhingute noukogudes 1.244% -> 0.658% (-47.089%),pohiseadusega riigikohus oiguskantsler 1.253% -> 0.685% (-45.336%),valimisea valimisiga valimisoiguse 0.685% -> 0.378% (-44.811%),koolilouna koolitoidu koolitoit 0.368% -> 0.105% (-71.456%),talupidajate kaubanduskoja kaubanduskoda 0.231% -> 0.051% (-77.89%),kirik kiriku maarja 0.561% -> 0.215% (-61.662%),kohtla jarve johvi 0.305% -> 0.079% (-74.238%),eelarves riigieelarves reservist 1.661% -> 1.126% (-32.198%),prokuratuur prokuratuuri prokuror 1.161% -> 0.646% (-44.404%)
abipolitseinik abipolitseiniku abipolitseinike 0.29% -> 0.065% (-77.612%),inflatsiooni inflatsioon hinnatous 0.552% -> 0.225% (-59.222%),aasia aasias saatkonna 1.151% -> 0.612% (-46.873%),iive sundimus iibe 0.654% -> 0.228% (-65.141%),kodualuse maamaksu maamaksust 0.57% -> 0.168% (-70.548%),eelarvele kulude riigieelarvele 0.573% -> 0.273% (-52.364%),miili baasvorgu lairiba 0.756% -> 0.367% (-51.435%),kutsehariduse kutseharidus kutsehariduses 0.693% -> 0.37% (-46.569%),terviseandmed isikuandmeid terviseandmeid 1.25% -> 0.717% (-42.624%),ts parvlaeva parvlaevad 0.323% -> 0.079% (-75.669%),kohanimenoukogu vonnu mulgi 0.224% -> 0.023% (-89.547%),inimarengu aruanne aruandes 0.317% -> 0.037% (-88.351%)
