topic_words3,Fraktsioonitud,Reformierakond,difference
magustatud suhkrut joogi,0.0,0.0016501650165016,-inf
oigusloome oigusloomes oiguspoliitika,0.0,0.0016501650165016,-inf
poolte kokkuleppel huvitise,0.0,0.0049504950495049,-inf
president ilves presidendi,0.0,0.0016501650165016,-inf
annetused annetusi annetuste,0.0,0.0049504950495049,-inf
abielu kooselu samasooliste,0.0,0.0016501650165016,-inf
aituma infotundi jahimehed,0.0,0.0066006600660066,-inf
ajakirjandus ajakirjanduse ajakirjandust,0.0,0.0066006600660066,-inf
tooandja tervisesse maksuvabalt,0.0,0.0016501650165016,-inf
utah jordaania energia,0.0,0.0033003300330033,-inf
ametiuhingute tooandjate keskliit,0.0,0.0033003300330033,-inf
apteeke apteegid apteekide,0.0,0.0016501650165016,-inf
toonadalal istungid taiendaval,0.0,0.0033003300330033,-inf
valismaale valjarande valjaranne,0.0,0.0016501650165016,-inf
tootuli lepitaja ametiuhingute,0.0,0.0016501650165016,-inf
uliopilased uliopilastele uliopilaste,0.0,0.0066006600660066,-inf
arengukavad arengukavade pohialuste,0.0,0.0132013201320132,-inf
uuring uuringut uuringu,0.0,0.0066006600660066,-inf
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0016501650165016,-inf
vabatahtlike komandode paasteameti,0.0,0.0016501650165016,-inf
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0016501650165016,-inf
pealinnast tallinnast viljandisse,0.0,0.0033003300330033,-inf
teenuseid teenused teenust,0.0,0.0016501650165016,-inf
objekti anu raua,0.0,0.0033003300330033,-inf
memorandumi moistmise memorandum,0.0,0.0016501650165016,-inf
raamatukogu pimedate raamatukogude,0.0,0.0016501650165016,-inf
miili baasvorgu lairiba,0.0,0.0016501650165016,-inf
prokuratuur prokuratuuri prokuror,0.0,0.0099009900990099,-inf
volakirjade keskpank volakirju,0.0,0.0016501650165016,-inf
viirust vaktsineeritud viiruse,0.0,0.0,
