,female_effect_size,female_p_value
esindajaid,-0.2674027383327484,0.7851743473722925
250,0.1425180435180664,0.33617016544283285
metsanduse,0.15395914018154144,0.3293958363550298
miinus,-0.08444283157587051,0.596078484982286
ootan,0.1448497176170349,0.3296751274956272
prognoosid,-0.18408340215682983,0.7020641896921296
katab,0.38560283184051514,0.13444597355765875
kontseptsiooni,0.019092252478003502,0.4758059789432094
kokkuhoid,-0.3432144522666931,0.8432621565960003
euroopasse,0.014534905552864075,0.47656150338288217
tõlgendada,-0.12216083705425262,0.6385196716611926
seadusmuudatuse,0.055472712963819504,0.4384703593701841
piirkondade,0.1350243240594864,0.3456867686543663
kaljulaid,-0.6424276828765869,0.9699859461202996
vabas,-0.23707497119903564,0.7602772867965847
piiride,-0.14705780148506165,0.668435816292219
tulenevaid,0.14342956244945526,0.3321999655812804
tellida,0.12081669270992279,0.36023294287426244
astuma,0.23568390309810638,0.24934209576947164
kohtlemine,0.1352710872888565,0.3521558122690258
alar,-0.503293514251709,0.9269977741839369
territooriumi,-0.26544567942619324,0.7802185617951176
kiidetud,-0.46065881848335266,0.9101863868532312
marianne,-0.46966543793678284,0.9160818129886028
elust,-0.03060443140566349,0.5316961538490543
kolleege,-0.3480108678340912,0.8457337817009551
heidy,-0.3431086242198944,0.8380642986117579
stalnuhhini,-0.14646394550800323,0.6646238675421532
lubadus,-0.36467963457107544,0.8578706798557101
taskust,-0.12383737415075302,0.6410038894857517
haiglad,0.205301895737648,0.2714121439604016
120,0.18804831802845,0.29587262800423275
jäätmete,0.2688325345516205,0.216904591324518
lasteaia,0.4429765045642853,0.0975566753495618
ga,0.06932083517313004,0.4241504327005259
liikmesriikides,0.21105973422527313,0.26691577952402445
institutsioonid,0.07900896668434143,0.40780839319849393
kahetsusväärselt,-0.01445393729954958,0.5141536491932881
vähenemist,0.08160021156072617,0.40975273510526555
nõustun,-0.35044488310813904,0.8439109322052227
rahaliste,0.22335004806518555,0.2557843840765688
regionaalse,0.2259632647037506,0.25810354712227623
enamuse,-0.35132551193237305,0.849280124907142
staatuse,0.37182196974754333,0.1474108846743094
põhjendused,-0.23565109074115753,0.7502370389280186
arutamiseks,-0.2668127417564392,0.7809961742720124
esitame,0.16073577105998993,0.31571488553247484
lepiti,0.24655722081661224,0.23647772023045288
surnud,0.23171629011631012,0.24375534339668237
simsoni,-0.3269040286540985,0.8308607740476563
veb,-0.4310040771961212,0.896430061595446
objekt,0.08242415636777878,0.40735663185480586
pikki,0.15674977004528046,0.32580718287584565
konventsiooniga,0.29865357279777527,0.19445211794462058
volikogus,-0.5383520126342773,0.9394034522311661
kärpida,-0.08492810279130936,0.5953436667485728
märku,-0.07307115197181702,0.5902845703721173
pöördus,0.049688536673784256,0.4469031674600815
reforme,0.24058575928211212,0.2409202007292366
põhjalikku,0.7225340008735657,0.017913559150104952
lugedes,-0.0992307960987091,0.611569728148486
valitsemisalas,0.21004343032836914,0.26797417480933905
mängus,-0.2208116352558136,0.7354342950945503
tänasest,-0.4454140067100525,0.902860056393956
sissetulekut,0.2942706346511841,0.19608001893701799
ukse,-0.03291036933660507,0.543458273722518
registri,0.2581534683704376,0.22853026682185085
põhiseadusest,-0.22099199891090393,0.7429455869251076
vabandan,0.04520002752542496,0.45298059167881843
auditi,0.0747954398393631,0.41533497693589994
kodakondsusest,0.18445143103599548,0.29263220882604946
purga,-0.31932350993156433,0.8263616984869506
tarbijale,0.10256990045309067,0.3855906295883682
ebavõrdsust,0.14158348739147186,0.3403893246151015
noore,0.17600545287132263,0.30593764475732943
käed,-0.37371721863746643,0.8639735427986472
jõustus,0.6296887993812561,0.03191360844279034
käsitlevad,0.25072506070137024,0.23378805976396078
isikust,0.10301779210567474,0.37866760404813604
järgnevad,0.09929145872592926,0.3792768967926149
analüüsitud,0.27155500650405884,0.21634626167798165
gruusia,-0.3228382468223572,0.8295044548389371
käesolev,0.14696556329727173,0.3431294315643898
büroo,0.15295541286468506,0.3305574935997079
reservid,-0.28167080879211426,0.7950112380663461
valga,0.1415589451789856,0.34027985534023797
raport,-0.2144952118396759,0.7344020053489915
ettevõtjatel,-0.006269788835197687,0.5045666012253853
kaovad,0.34783491492271423,0.15369844374868735
vett,0.11031178385019302,0.36971364527155526
korraldama,0.45494693517684937,0.0925609969371688
väärtused,-0.26232239603996277,0.7852398467065071
õigusriik,-0.42019757628440857,0.8888042584161252
selguse,0.06537467986345291,0.4302233941259488
rahvaliidu,-0.11792408674955368,0.642087583191009
valija,-0.2008669525384903,0.7217399345548244
eksperte,-0.18527981638908386,0.7019729935807199
loobuma,0.4639837443828583,0.0854443772923772
elektrooniliselt,0.03973899409174919,0.4532572879445983
lisavahendeid,0.4861244559288025,0.07761432364435061
demokraatlik,-0.3635207414627075,0.8566124273182457
käsitles,0.2258152961730957,0.2585826734683059
tehnilist,0.0451054647564888,0.44539139989772547
palling,-0.332295298576355,0.8344162596342579
konventsioon,0.2710210084915161,0.21966555324173465
elanikku,0.16179747879505157,0.31135320960468515
esitavad,0.04498635232448578,0.4464161241225295
läänemets,-0.3735240697860718,0.8600308700094632
uudiseid,-0.3861473500728607,0.8694197790813314
tähendus,-0.18917466700077057,0.7099469507437275
sündis,0.26654505729675293,0.22191122525594076
sõidavad,0.14453686773777008,0.3336263047057556
strateegiline,0.012358340434730053,0.4892896287215156
kavatse,-0.07886679470539093,0.5922635796214084
meeldiv,0.1687263697385788,0.3093129202483218
materjalid,-0.3542327880859375,0.8506155467452503
keskliit,-0.005957050248980522,0.501604144305381
lapsel,0.28296297788619995,0.20458799947176232
kogus,-0.48552966117858887,0.9194623328511751
volituste,-0.10510285943746567,0.6215243879069987
erasektor,0.10905685275793076,0.3705417820890202
kirju,-0.09887997061014175,0.6089682010954318
vabad,-0.26123419404029846,0.772841485486833
raamatu,-0.34207144379615784,0.8369284024492536
eesmärgist,-0.0695667564868927,0.5803337887557
üksuste,-0.06713920086622238,0.5800927687453806
karistada,0.029481656849384308,0.46827957359758055
talvel,0.10071396827697754,0.3817685856533405
hispaania,0.05719660222530365,0.43827715204164697
alustuseks,-0.487479567527771,0.9203316933256764
regiooni,0.11891397833824158,0.3615825739590999
varasemate,-0.1781681329011917,0.6961781980593293
investeeringuteks,0.1032269150018692,0.3892537858700187
53,-0.08714639395475388,0.6054945490832588
omaniku,-0.046524278819561005,0.5544800773862275
kuritegevuse,0.20509736239910126,0.2750568190791294
määramisel,0.3821992874145508,0.13793511144708626
muutmata,0.24021697044372559,0.2418104700465703
maaelukomisjon,0.06969580799341202,0.4169693173976853
101,0.010547916404902935,0.49293878655467127
sisekaitseakadeemia,0.11905915290117264,0.3647594209055033
poliitik,-0.3012779653072357,0.811278443384253
kuuga,0.051492370665073395,0.44538000485488294
leo,-0.5438504219055176,0.9412292474014059
repsi,-0.1421692967414856,0.6540689475273171
hüvitamise,0.12191504240036011,0.3545864895880615
mõtleb,0.009699277579784393,0.4935234292881443
rait,-0.30938035249710083,0.8134037794897131
vaher,-0.41507771611213684,0.889370074397525
kooselu,0.39195165038108826,0.12291063170029548
ettevõtetel,0.053380776196718216,0.43670632898573847
hoidmine,0.006285400129854679,0.49304258139724355
eelnimetatud,0.28226757049560547,0.21057674709079732
maksukorralduse,0.13774095475673676,0.3407255834378339
kandidaatide,-0.24743099510669708,0.7614209894885324
ressursid,-0.02556505613029003,0.5298690309691136
lähemal,0.13640546798706055,0.3518031662039516
ruttu,-0.010612482205033302,0.5039746211548506
täiskasvanud,0.5546396374702454,0.05152368278672348
mõtle,0.09404920041561127,0.39510827659904235
elamisluba,0.4425865113735199,0.0983747810532336
maaomavalitsuste,0.3497944474220276,0.1543399112120598
raidma,-0.4432399570941925,0.9020963696783895
lotman,-0.5310442447662354,0.9410400799595078
tundma,0.5724018216133118,0.04739350627537042
äriühingute,-0.15438933670520782,0.6690610753327728
seonduvat,0.43978723883628845,0.10039760914823326
vastutav,-0.14016768336296082,0.6625067311251904
kaotamine,-0.053502582013607025,0.5663605417084727
jätkuks,0.27660730481147766,0.21356689524331662
mõtlevad,0.1568257212638855,0.3277319941763446
vastutama,0.34244802594184875,0.15889311251839544
pädev,0.07463611662387848,0.4098559506029017
personali,0.21171827614307404,0.26135658303071463
teave,0.1768234223127365,0.30662238407451214
toimetada,-0.010106767527759075,0.5111397818563651
järgneb,0.22712135314941406,0.24910075253051533
ühineda,-0.02600513957440853,0.5301843484992901
