,female_effect_size,female_p_value
kroonilised,0.06847923994064331,0.4225805424436283
kolonn,-0.32086458802223206,0.8240453118365475
eamets,0.10472520440816879,0.3807546748001003
jalajälje,-0.35324302315711975,0.8476193291539296
edetabeli,-0.18576012551784515,0.7026156814858658
proportsioonide,0.146701380610466,0.3330845172292509
eraldiseisvat,0.06542935222387314,0.42476416687820373
tiitel,-0.18223349750041962,0.7010747964041164
mõistlikuma,0.49853914976119995,0.07297738416080257
kompenseeriks,-0.22514866292476654,0.7413584060062711
võluvitsa,-0.36383017897605896,0.8563963704208927
majutus-,-0.21682822704315186,0.7371996953578412
rahastamata,0.04462273046374321,0.4551044998412923
maksuerandid,-0.2532173991203308,0.7742292360341043
võimuliit,-0.6127603054046631,0.9600715571427657
taastasime,0.09122240543365479,0.393110434971671
opositsioonipoliitikud,-0.08568227291107178,0.5992879969258824
leviks,0.3246952295303345,0.17370458535689126
moderna,-0.518290638923645,0.9355720557087206
kiusatakse,0.2219357192516327,0.2604271809472931
pööret,-0.6079275012016296,0.9612659252947212
valgevenesse,0.18980835378170013,0.2916279582701661
suunalt,-0.20462408661842346,0.7199730557804652
režiimile,-0.3939073383808136,0.8716934499495035
liikvel,-0.32295888662338257,0.8277315350400642
kasust,-0.10130542516708374,0.6160408011545903
punases,-0.20333625376224518,0.7182552562228042
lekkinud,0.08667437732219696,0.4018700079443326
nõuannet,-0.17589381337165833,0.6929343591415862
vaktsineerimisel,0.11451937258243561,0.3721459872028865
pärimisseaduse,0.10055787116289139,0.3881679141235178
tasakaalustamise,0.21921667456626892,0.2610934150987806
poolthääle,-0.20972608029842377,0.7316574688888048
vanaduspensioniea,0.19340886175632477,0.27638626006191414
seostuvad,0.1944958120584488,0.28107698730052877
kultuurilisi,-0.029172316193580627,0.5373800293280157
jäätmemajanduse,0.2618868947029114,0.22309179205072827
lasteaedadega,0.37173765897750854,0.14111680832917828
komplekteerida,-0.0694969967007637,0.5811090901931188
stockholmis,-0.15984340012073517,0.6824680003206549
asendustegevusega,0.029438789933919907,0.4644959179807491
juriidilistes,0.1447499692440033,0.33940321135976936
huvikooli,0.7550278306007385,0.013512043203403268
süüdimõistva,0.26672127842903137,0.21930149636173057
planeerita,-0.30896201729774475,0.8162096016341278
vähendamaks,0.1332041323184967,0.347104424656556
viivise,0.30724191665649414,0.18202284441228112
lennundus-,-0.12909851968288422,0.6526749840059517
jumalast,0.031181342899799347,0.46292936730851153
ajakirjanikule,-0.2752264440059662,0.7873475676438133
võivate,0.2968234121799469,0.18800057983367535
(§,0.06023252382874489,0.4245932759658366
ajakirjanikku,-0.13927234709262848,0.6566271927477574
hoolsuskohustust,0.08846445381641388,0.40149841627524196
tõhusaid,-0.016161063686013222,0.5147345812935424
joones,-0.5022480487823486,0.9318158084995697
656,0.23179951310157776,0.24524684555904863
parimast,0.22003591060638428,0.2629755697044722
tehnoloogiasse,0.23604227602481842,0.24729328094703162
konkurente,-0.1561175435781479,0.674037510202584
kõrgemast,0.349889874458313,0.15679511025732285
indekseeritud,0.21178212761878967,0.2657798772497382
indeksiga,-0.25880876183509827,0.7784298507323725
kadumisega,0.15270404517650604,0.3267359295532546
segase,0.3275530934333801,0.1718696842267493
lahendamises,0.1860610395669937,0.2996098526930696
investeerimisfondi,-0.023123979568481445,0.525693324206531
majandusministeeriumiga,-0.025381488725543022,0.5318592772419066
liitlasriikide,-0.02189754880964756,0.5208957848484956
radikaalset,0.03292740508913994,0.46468816988674433
võrdsele,0.17707954347133636,0.3070837338401611
edastamisel,0.10280753672122955,0.38666982668873173
delegatsioonid,-0.2331879436969757,0.7556646564697753
inimõigustega,0.14508692920207977,0.3373448017239724
väärtuspõhise,0.30846479535102844,0.18590290639376872
protsessil,-0.32033511996269226,0.8214676300018928
nutikate,0.12413632869720459,0.3559448856192675
juhtimisstruktuur,-0.41029229760169983,0.8831200798296577
kiitsin,-0.5253520011901855,0.9401021586439972
rahvastel,-0.1335121989250183,0.6554224352493672
berliinis,-0.04944981262087822,0.558861561799326
kohtumiseks,-0.004278276115655899,0.508310615593808
hirmutatakse,0.16230538487434387,0.30894229295636766
olulisemal,0.4433359205722809,0.09941983209053351
diplomaatiliselt,-0.13524621725082397,0.6573303572766294
liibüas,-0.34957313537597656,0.8457964958001413
julgeolekuküsimustes,-0.014417405240237713,0.5191348514030723
teravamad,0.280510276556015,0.20761653023373972
tundmatuseni,-0.0589388944208622,0.5665511866991901
koalitsioonipoliitikute,0.046670425683259964,0.4513964181359502
laevastiku,0.035569097846746445,0.4603992830256838
väljakutsega,-0.232408344745636,0.7515187419892819
seik,-0.5412811636924744,0.9397581640736278
laenulepingu,0.2296256273984909,0.2527513816484267
kõrvalehoidmise,0.08712854236364365,0.40101058825377933
hommikuni,-0.15214607119560242,0.6655262440746944
tunduma,0.4045514166355133,0.11937081769281566
riistvara,-0.15583613514900208,0.6729999406457141
paigus,-0.12358603626489639,0.6397409163657817
dikteerivad,0.019048843532800674,0.4723737332206299
eurogrupi,0.0668572187423706,0.4203744644419817
debateerisime,-0.11949735879898071,0.6365502648331578
publiku,0.4095604419708252,0.11774582133643752
