topic_words3,Eestimaa Rahvaliidu fraktsioon,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
kohtutaiturite kohtutaitur kohtutaituri,0.006134969325153374,0.006349206349206349,0.0,0.021141649048625793,0.0012111425111021397,0.0031282586027111575,0.008333333333333333
kolledz kolledzi turi,0.0,0.0,0.02666666666666667,0.004228329809725159,0.0020185708518368995,0.0020855057351407717,0.0016666666666666668
konkurss konkursi konkurssi,0.0,0.0,0.0,0.0,0.0012111425111021397,0.0010427528675703858,0.0
kontrollin haaled kandidaadi,0.0,0.0,0.0044444444444444444,0.0,0.0004037141703673799,0.0,0.0
koolilouna koolitoidu koolitoit,0.0,0.0,0.008888888888888889,0.0021141649048625794,0.010496568429551878,0.0020855057351407717,0.0
koolis kooli opilased,0.012269938650306749,0.012698412698412698,0.013333333333333334,0.03171247357293869,0.015341138473960436,0.010427528675703858,0.021666666666666667
koolituse koolitus koolitusele,0.0,0.0,0.0,0.0,0.0004037141703673799,0.0020855057351407717,0.0033333333333333335
korrata stenogrammist vabandan,0.0,0.0,0.0,0.0,0.0,0.0020855057351407717,0.0
korruptsiooni korruptsioon korruptsiooniga,0.003067484662576687,0.0,0.0,0.004228329809725159,0.0004037141703673799,0.0,0.0
korterelamute kortermajade kredexi,0.0,0.009523809523809525,0.0,0.0021141649048625794,0.0012111425111021397,0.0010427528675703858,0.0
korterid kortereid korterit,0.006134969325153374,0.009523809523809525,0.0,0.0021141649048625794,0.002825999192571659,0.005213764337851929,0.0016666666666666668
korteriuhistu korteriomanike korteriuhistute,0.0,0.0,0.0,0.0,0.0008074283407347598,0.0010427528675703858,0.0
krimmi agressiooni ukraina,0.0,0.006349206349206349,0.0044444444444444444,0.0021141649048625794,0.0036334275333064193,0.0,0.008333333333333333
kulukuse krediidi kiirlaenude,0.0,0.0,0.0,0.008456659619450317,0.0004037141703673799,0.0010427528675703858,0.0033333333333333335
kusija vastaja vastasin,0.003067484662576687,0.0,0.0,0.0,0.0,0.0,0.0
kusimusena tahtsa tahtsusega,0.0,0.0031746031746031746,0.013333333333333334,0.008456659619450317,0.002825999192571659,0.0020855057351407717,0.0033333333333333335
kutsehariduse kutseharidus kutsehariduses,0.003067484662576687,0.0,0.0,0.0,0.0016148566814695195,0.004171011470281543,0.0
laari laar kandidatuuri,0.003067484662576687,0.0,0.0,0.0021141649048625794,0.0008074283407347598,0.0,0.0016666666666666668
lae korgepalgaliste lagi,0.003067484662576687,0.0031746031746031746,0.0044444444444444444,0.0021141649048625794,0.0004037141703673799,0.004171011470281543,0.0033333333333333335
lahususe voimude lahusus,0.0,0.0,0.0,0.006342494714587738,0.0012111425111021397,0.004171011470281543,0.0016666666666666668
lapsetoetust lapsetoetus lapsetoetuse,0.024539877300613498,0.006349206349206349,0.013333333333333334,0.035940803382663845,0.009689140088817117,0.009384775808133473,0.04833333333333333
lasteaia lasteaias lasteaiakoha,0.003067484662576687,0.0031746031746031746,0.0,0.021141649048625793,0.010092854259184497,0.006256517205422315,0.023333333333333334
leping ratifitseerida lepinguga,0.006134969325153374,0.009523809523809525,0.0044444444444444444,0.0021141649048625794,0.002825999192571659,0.010427528675703858,0.0
liibanonis missioonil pikendamine,0.0,0.0,0.0,0.0,0.0008074283407347598,0.0,0.0
liiklussurmade liikluses hukkunute,0.003067484662576687,0.01904761904761905,0.0,0.006342494714587738,0.002825999192571659,0.006256517205422315,0.0016666666666666668
liitlaste ohutorje keskmaa,0.0,0.0,0.0,0.0021141649048625794,0.0004037141703673799,0.0010427528675703858,0.0016666666666666668
lipu laevu kaubalaeva,0.0,0.0031746031746031746,0.008888888888888889,0.0,0.0024222850222042794,0.0010427528675703858,0.0
lipud lippude lipp,0.0,0.0,0.0,0.0,0.0004037141703673799,0.0010427528675703858,0.0
lisaeelarve lisaeelarves lisaeelarvega,0.0,0.0,0.0,0.0,0.0,0.0020855057351407717,0.0016666666666666668
lng terminali gaasi,0.0,0.0,0.0044444444444444444,0.0021141649048625794,0.0016148566814695195,0.005213764337851929,0.0
loomi loomade loomad,0.003067484662576687,0.012698412698412698,0.0,0.0,0.0012111425111021397,0.0020855057351407717,0.0
louis freeh kremli,0.003067484662576687,0.0,0.0,0.0,0.0012111425111021397,0.0,0.0
maantee neljarealiseks ppp,0.0,0.0,0.0044444444444444444,0.0,0.005248284214775939,0.0,0.0
maavalitsuste maavalitsused maakonna,0.027607361963190184,0.006349206349206349,0.013333333333333334,0.0021141649048625794,0.011707710940654016,0.0010427528675703858,0.0033333333333333335
magustatud suhkrut joogi,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0010427528675703858,0.0
majandusaasta koondaruanne raamatupidamise,0.0,0.0,0.0044444444444444444,0.004228329809725159,0.0020185708518368995,0.006256517205422315,0.005
maksuamet tolliamet tolliameti,0.006134969325153374,0.0031746031746031746,0.0,0.0021141649048625794,0.003229713362939039,0.0072992700729927005,0.008333333333333333
matusetoetust matusetoetus matusetoetuse,0.03374233128834356,0.0031746031746031746,0.02666666666666667,0.0021141649048625794,0.007670569236980218,0.005213764337851929,0.0033333333333333335
memorandumi moistmise memorandum,0.003067484662576687,0.0,0.0,0.0021141649048625794,0.0008074283407347598,0.0010427528675703858,0.0
mes maale maaelu,0.003067484662576687,0.0031746031746031746,0.0,0.004228329809725159,0.0004037141703673799,0.0020855057351407717,0.0016666666666666668
metsa metsade mets,0.003067484662576687,0.015873015873015872,0.0,0.0021141649048625794,0.0008074283407347598,0.0010427528675703858,0.005
