topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonitud,difference
domeenide domeeni interneti,0.0,0.0,
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,
annetused annetusi annetuste,0.0,0.0,
ammendumiseni kaheni pikendada,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
abielu kooselu samasooliste,0.0,0.0,
aardla pria pealtnagija,0.0,0.0,
kirik kiriku maarja,0.0,0.0044444444444444,-inf
hadaolukorda eriolukord eriolukorra,0.0,0.0044444444444444,-inf
erso teatri kontserdi,0.0,0.0044444444444444,-inf
idapiiri piiririba valjaehitamine,0.0,0.0044444444444444,-inf
hooldekodus hoolduse hooldekodu,0.0,0.0044444444444444,-inf
hambaravi hammaste hambad,0.0,0.0133333333333333,-inf
volakirjade keskpank volakirju,0.0,0.0,
